Paper_ID,DOI,Title,Journal,Primary_exemplar_role,Secondary_roles,Why_exemplary,Relevant_domain,Relevant_journal_style,Recommended_future_card_type,Possible_limitations
P048,10.1109/tie.2025.3639779,EDEN: Efficient Dual-Layer Exploration Planning for Fast UAV Autonomous Exploration in Large 3-D Environments,TIE,UAV,INTRODUCTION; STRUCTURE; THEORY; TABLE; RESULT_NARRATIVE; REAL_WORLD; PLANNING,"Coverage-first candidate with 7 detected main sections, 6 figures, and evidence roles: MAIN_COMPARISON; RUNTIME; REAL_WORLD",UAV autonomy paper,TIE,UAV,baseline count requires manual confirmation
P071,10.1109/tmech.2026.3658866,Robot Learning System Based on Target Localization and Human Demonstration for Medical Examination,TMECH,PLANNING,STRUCTURE; FIGURE; RESULT_NARRATIVE; REAL_WORLD,"Coverage-first candidate with 6 detected main sections, 17 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD",Navigation / planning paper,TMECH,PLANNING,baseline count requires manual confirmation
P029,10.1109/tcst.2026.3661166,Mixed-Integer MPC-Based Motion Planning Using Hybrid Zonotopes With Tight Relaxations,TCST,STRUCTURE,THEORY; TABLE; RESULT_NARRATIVE; CONTROL; RL_MARL; PLANNING,"Coverage-first candidate with 6 detected main sections, 5 figures, and evidence roles: MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY",Autonomous vehicle paper,TCST,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P084,10.1109/tro.2026.3651669,DexRepNet++: Learning Dexterous Robotic Manipulation With Geometric and Spatial Hand-Object Representations,TRO,STRUCTURE,INTRODUCTION; METHODOLOGY; EXPERIMENT_ARCHITECTURE; FIGURE; TABLE; RESULT_NARRATIVE; REAL_WORLD,"Coverage-first candidate with 9 detected main sections, 18 figures, and evidence roles: MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST",RL / MARL method paper,TRO,STRUCTURE,baseline count requires manual confirmation
P086,10.1109/tro.2023.3275875,A Secure Robot Learning Framework for Cyber Attack Scheduling and Countermeasure,TRO,STRUCTURE,PROBLEM_FORMULATION; THEORY; FIGURE; TABLE; RESULT_NARRATIVE; REAL_WORLD; CONTROL,"Coverage-first candidate with 6 detected main sections, 11 figures, and evidence roles: GENERALIZATION; REAL_WORLD",RL / MARL method paper,TRO,STRUCTURE,baseline count requires manual confirmation
P057,10.1109/tim.2025.3584117,LiDAR-Based Autonomous Exploration Method of Mobile Robot Using Deep Reinforcement Learning in Unknown Environments,TIM,STRUCTURE,PROBLEM_FORMULATION; METHODOLOGY; EXPERIMENT_ARCHITECTURE; FIGURE; TABLE; RESULT_NARRATIVE; REAL_WORLD,"Coverage-first candidate with 5 detected main sections, 18 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION",RL / MARL method paper,TIM,STRUCTURE,baseline count requires manual confirmation
P067,10.1109/tiv.2024.3373512,Enhancing System-Level Safety in Mixed-Autonomy Platoon via Safe Reinforcement Learning,TIV,STRUCTURE,INTRODUCTION; FIGURE; RESULT_NARRATIVE; CONTROL; RL_MARL,"Coverage-first candidate with 6 detected main sections, 11 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION",Autonomous vehicle paper,TIV,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P087,10.1109/tro.2024.3434208,Contact Models in Robotics: A Comparative Analysis,TRO,STRUCTURE,FIGURE; TABLE; RESULT_NARRATIVE; RL_MARL; PLANNING,"Coverage-first candidate with 4 detected main sections, 19 figures, and evidence roles: MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SIM_TO_REAL",RL / MARL method paper,TRO,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P028,10.1109/tcst.2022.3211130,Distributed Nonlinear Trajectory Optimization for Multi-Robot Motion Planning,TCST,STRUCTURE,THEORY; EXPERIMENT_ARCHITECTURE; FIGURE; TABLE; REAL_WORLD; CONTROL; MULTI_AGENT,"Coverage-first candidate with 1 detected main sections, 12 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; CROSS_SCENARIO",Autonomous vehicle paper,TCST,STRUCTURE,baseline count requires manual confirmation
P031,10.1109/tcst.2022.3216989,Multitrajectory Model Predictive Control for Safe UAV Navigation in an Unknown Environment,TCST,STRUCTURE,THEORY; FIGURE; RESULT_NARRATIVE; CONTROL; UAV; PLANNING,"Coverage-first candidate with 3 detected main sections, 15 figures, and evidence roles: MAIN_COMPARISON; RUNTIME; COMPUTATIONAL_COMPLEXITY; QUALITATIVE_VISUALIZATION",UAV autonomy paper,TCST,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P030,10.1109/tcst.2023.3323766,Coordinated Navigation Control of Cross-Domain Unmanned Systems via Guiding Vector Fields,TCST,STRUCTURE,INTRODUCTION; THEORY; RESULT_NARRATIVE; CONTROL; RL_MARL; MULTI_AGENT; UAV,"Coverage-first candidate with 6 detected main sections, 9 figures, and evidence roles: GENERALIZATION",UAV autonomy paper,TCST,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P001,10.1109/tac.2021.3097706,Distributionally Robust Chance Constrained Data-Enabled Predictive Control,TAC,STRUCTURE,THEORY; CONTROL; UAV; PLANNING,"Coverage-first candidate with 6 detected main sections, 2 figures, and evidence roles: MAIN_COMPARISON; PARAMETER_SENSITIVITY",UAV autonomy paper,TAC,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P068,10.1109/tiv.2022.3214777,Mixed-Integer and Conditional Trajectory Planning for an Autonomous Mining Truck in Loading/Dumping Scenarios: A Global Optimization Approach,TIV,STRUCTURE,PROBLEM_FORMULATION; TABLE; RESULT_NARRATIVE; REAL_WORLD; PLANNING,"Coverage-first candidate with 5 detected main sections, 9 figures, and evidence roles: MAIN_COMPARISON; RUNTIME; REAL_WORLD",Navigation / planning paper,TIV,STRUCTURE,baseline count requires manual confirmation
P088,10.1109/tro.2023.3264950,NEPTUNE: Nonentangling Trajectory Planning for Multiple Tethered Unmanned Vehicles,TRO,STRUCTURE,THEORY; FIGURE; TABLE; RESULT_NARRATIVE; REAL_WORLD; RL_MARL; MULTI_AGENT,"Coverage-first candidate with 10 detected main sections, 23 figures, and evidence roles: MAIN_COMPARISON; RUNTIME; REAL_WORLD",UAV autonomy paper,TRO,STRUCTURE,baseline count requires manual confirmation
P049,10.1109/tie.2021.3070508,OpenStreetMap-Based Autonomous Navigation for the Four Wheel-Legged Robot Via 3D-Lidar and CCD Camera,TIE,STRUCTURE,INTRODUCTION; FIGURE; RL_MARL; PLANNING,"Coverage-first candidate with 1 detected main sections, 13 figures, and evidence roles: MAIN_COMPARISON; ROBUSTNESS; DISTURBANCE",RL / MARL method paper,TIE,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P034,10.1109/tcyb.2021.3132587,Distributed UAV Swarm Formation and Collision Avoidance Strategies Over Fixed and Switching Topologies,TCYB,STRUCTURE,METHODOLOGY; THEORY; FIGURE; CONTROL; MULTI_AGENT; UAV,"Coverage-first candidate with 2 detected main sections, 11 figures, and evidence roles: PARAMETER_SENSITIVITY",UAV autonomy paper,TCYB,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P095,10.1109/tvt.2025.3596466,Enhancing the Robustness of UAV Search Path Planning Based on Deep Reinforcement Learning for Complex Disaster Scenarios,TVT,STRUCTURE,INTRODUCTION; FIGURE; TABLE; RL_MARL; UAV; PLANNING,"Coverage-first candidate with 1 detected main sections, 10 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION",UAV autonomy paper,TVT,STRUCTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
