Paper_ID,DOI,Title,Journal,Relevance,Teaching_value_1_5,Original_primary_role,Audited_primary_role,Domains,Evidence_layer_count,Decision,Reason
P087,10.1109/tro.2024.3434208,Contact Models in Robotics: A Comparative Analysis,TRO,PASS,3,STRUCTURE,COMPARATIVE_EXPERIMENT,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,4,KEEP,"Retained for primary role COMPARATIVE_EXPERIMENT, with domain coverage RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 4 detected evidence layers."
P028,10.1109/tcst.2022.3211130,Distributed Nonlinear Trajectory Optimization for Multi-Robot Motion Planning,TCST,PASS,5,STRUCTURE,TRAJECTORY_OPTIMIZATION,MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,5,KEEP,"Retained for primary role TRAJECTORY_OPTIMIZATION, with domain coverage MULTI_AGENT_DECISION, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 5 detected evidence layers."
P031,10.1109/tcst.2022.3216989,Multitrajectory Model Predictive Control for Safe UAV Navigation in an Unknown Environment,TCST,PASS,4,STRUCTURE,NAVIGATION_PLANNING,UAV_AUTONOMY; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,4,KEEP,"Retained for primary role NAVIGATION_PLANNING, with domain coverage UAV_AUTONOMY, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 4 detected evidence layers."
P030,10.1109/tcst.2023.3323766,Coordinated Navigation Control of Cross-Domain Unmanned Systems via Guiding Vector Fields,TCST,PASS,3,STRUCTURE,DROPPED,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; CONTROL; ROBOTICS,1,DROP_REDUNDANT,Redundant with the retained TCST navigation/control exemplars P028 and P031; it adds less distinct teaching coverage after role reassignment.
P001,10.1109/tac.2021.3097706,Distributionally Robust Chance Constrained Data-Enabled Predictive Control,TAC,PASS,3,STRUCTURE,THEORY,UAV_AUTONOMY; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,2,KEEP,"Retained for primary role THEORY, with domain coverage UAV_AUTONOMY, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 2 detected evidence layers."
P068,10.1109/tiv.2022.3214777,Mixed-Integer and Conditional Trajectory Planning for an Autonomous Mining Truck in Loading/Dumping Scenarios: A Global Optimization Approach,TIV,PASS,3,STRUCTURE,TRAJECTORY_OPTIMIZATION,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,3,KEEP,"Retained for primary role TRAJECTORY_OPTIMIZATION, with domain coverage NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, ROBOTICS and 3 detected evidence layers."
P088,10.1109/tro.2023.3264950,NEPTUNE: Nonentangling Trajectory Planning for Multiple Tethered Unmanned Vehicles,TRO,PASS,4,STRUCTURE,FIGURE_ARCHITECTURE,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,3,KEEP,"Retained for primary role FIGURE_ARCHITECTURE, with domain coverage UAV_AUTONOMY, RL_MARL, MULTI_AGENT_DECISION, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 3 detected evidence layers."
P049,10.1109/tie.2021.3070508,OpenStreetMap-Based Autonomous Navigation for the Four Wheel-Legged Robot Via 3D-Lidar and CCD Camera,TIE,PASS,2,STRUCTURE,DROPPED,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,3,DROP_REDUNDANT,"Redundant with retained visual-navigation and real-world navigation exemplars P045, P047, and P057; its automatically recovered section structure is also weaker."
P034,10.1109/tcyb.2021.3132587,Distributed UAV Swarm Formation and Collision Avoidance Strategies Over Fixed and Switching Topologies,TCYB,PASS,3,STRUCTURE,DROPPED,UAV_AUTONOMY; MULTI_AGENT_DECISION; CONTROL,1,DROP_REDUNDANT,Substantially overlaps the retained TCYB multi-UAV control exemplar P033; P033 adds a clearer table/results teaching role while preserving UAV and multi-agent coverage.
P095,10.1109/tvt.2025.3596466,Enhancing the Robustness of UAV Search Path Planning Based on Deep Reinforcement Learning for Complex Disaster Scenarios,TVT,PASS,2,STRUCTURE,ROBUSTNESS_DESIGN,UAV_AUTONOMY; RL_MARL; NAVIGATION_PLANNING; ROBOTICS,2,KEEP,"Retained for primary role ROBUSTNESS_DESIGN, with domain coverage UAV_AUTONOMY, RL_MARL, NAVIGATION_PLANNING, ROBOTICS and 2 detected evidence layers."
