Exemplar_ID,Paper_ID,DOI,Title,Journal,Year,Primary_Role,Secondary_Roles,Primary_Domain,Secondary_Domains,Paper_Type,Theory_Level,Experiment_Level,Physical_Validation,Figure_Strength_1_5,Table_Strength_1_5,Introduction_Strength_1_5,Method_Strength_1_5,Experiment_Strength_1_5,Results_Writing_Strength_1_5,Overall_Teaching_Value_1_5,Relevant_Rule_IDs,Card_Path,Original_PDF_Path
EX_012,P066,10.1109/tiv.2025.3598768,Securing End-to-End Reinforcement Learning-Driven Autonomous Driving: A Control Command Utility-Based Intrusion Response System,TIV,2025,RL_MARL,EXPERIMENT_ARCHITECTURE; INTRODUCTION; REAL_WORLD; TABLE,RL_MARL,CONTROL,Autonomous vehicle paper,BASIC,HIGH,YES,2,2,5,3,5,3,3.33,GEN-EVD-001; GEN-VIS-001; JRN-TIV-001; DOM-RLMA-ABL-002; DOM-RL_M-ROB; DOM-RL_M-REAL; DOM-RL_M-RUN,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_012.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Zhang_2025_TIV_Securing-End-to-End-Reinforcement-Learning-Driven-Autonomous-Driving-A.pdf
EX_013,P085,10.1109/tro.2022.3232300,Maximum-Entropy Multi-Agent Dynamic Games: Forward and Inverse Solutions,TRO,2023,MULTI_AGENT,PLANNING; RESULT_NARRATIVE; RL_MARL; STRUCTURE; TABLE; THEORY,RL_MARL,MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,RL / MARL method paper,MEDIUM,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,2,3,3,4,3,3,3.0,GEN-EVD-001; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_013.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Mehr_2023_TRO_Maximum-Entropy-Multi-Agent-Dynamic-Games-Forward-and-Inverse-Solution.pdf
EX_014,P048,10.1109/tie.2025.3639779,EDEN: Efficient Dual-Layer Exploration Planning for Fast UAV Autonomous Exploration in Large 3-D Environments,TIE,2026,UAV,INTRODUCTION; PLANNING; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,UAV_AUTONOMY,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,UAV autonomy paper,MEDIUM,MEDIUM,YES,2,2,5,4,3,3,3.17,GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; JRN-TIE-001; DOM-ROBO-ROB; DOM-ROBO-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_014.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Dong_2026_TIE_EDEN-Efficient-Dual-Layer-Exploration-Planning-for-Fast-UAV-Autonomous.pdf
EX_015,P071,10.1109/tmech.2026.3658866,Robot Learning System Based on Target Localization and Human Demonstration for Medical Examination,TMECH,2026,PLANNING,FIGURE; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE,NAVIGATION_PLANNING,ROBOTICS,Navigation / planning paper,BASIC,MEDIUM,YES,4,1,1,3,4,4,2.83,GEN-EVD-005; GEN-VIS-001; JRN-TMECH-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-NAVI-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_015.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Si_2026_TMECH_Robot-Learning-System-Based-on-Target-Localization-and-Human-Demonstra.pdf
EX_016,P029,10.1109/tcst.2026.3661166,Mixed-Integer MPC-Based Motion Planning Using Hybrid Zonotopes With Tight Relaxations,TCST,2026,STRUCTURE,CONTROL; PLANNING; RESULT_NARRATIVE; RL_MARL; TABLE; THEORY,RL_MARL,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,Autonomous vehicle paper,HIGH,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,2,3,3,4,3,3,3.0,GEN-EVD-001; GEN-EVD-005; GEN-VIS-001; JRN-TCST-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_016.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Robbins_2026_TCST_Mixed-Integer-MPC-Based-Motion-Planning-Using-Hybrid-Zonotopes-With-Ti.pdf
EX_017,P084,10.1109/tro.2026.3651669,DexRepNet++: Learning Dexterous Robotic Manipulation With Geometric and Spatial Hand-Object Representations,TRO,2026,METHODOLOGY,EXPERIMENT_ARCHITECTURE; FIGURE; INTRODUCTION; METHODOLOGY; REAL_WORLD; RESULT_NARRATIVE; TABLE,RL_MARL,NAVIGATION_PLANNING; ROBOTICS,RL / MARL method paper,BASIC,HIGH,YES,4,5,5,5,5,4,4.67,GEN-EVD-001; GEN-EVD-002; DOM-RLMA-ABL-002; GEN-EVD-005; GEN-EVD-006; GEN-VIS-001; JRN-TRO-001,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_017.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Liu_2026_TRO_DexRepNet-Learning-Dexterous-Robotic-Manipulation-With-Geometric-and-S.pdf
EX_018,P086,10.1109/tro.2023.3275875,A Secure Robot Learning Framework for Cyber Attack Scheduling and Countermeasure,TRO,2023,PROBLEM_FORMULATION,CONTROL; FIGURE; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; TABLE; THEORY,RL_MARL,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,RL / MARL method paper,MEDIUM,BASIC,YES,3,2,3,5,3,4,3.33,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-006; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_018.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Wu_2023_TRO_A-Secure-Robot-Learning-Framework-for-Cyber-Attack-Scheduling-and-Coun.pdf
EX_019,P057,10.1109/tim.2025.3584117,LiDAR-Based Autonomous Exploration Method of Mobile Robot Using Deep Reinforcement Learning in Unknown Environments,TIM,2025,EXPERIMENT_ARCHITECTURE,EXPERIMENT_ARCHITECTURE; FIGURE; METHODOLOGY; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; TABLE,RL_MARL,NAVIGATION_PLANNING; ROBOTICS,RL / MARL method paper,BASIC,HIGH,YES,4,3,4,3,4,4,3.67,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_019.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Zhang_2025_TIM_LiDAR-Based-Autonomous-Exploration-Method-of-Mobile-Robot-Using-Deep-R.pdf
EX_020,P067,10.1109/tiv.2024.3373512,Enhancing System-Level Safety in Mixed-Autonomy Platoon via Safe Reinforcement Learning,TIV,2024,CONTROL,CONTROL; FIGURE; INTRODUCTION; RESULT_NARRATIVE; RL_MARL,RL_MARL,CONTROL,Autonomous vehicle paper,BASIC,BASIC,NO_EXPLICIT_EVIDENCE_DETECTED,3,1,5,5,2,3,3.17,GEN-EVD-001; GEN-EVD-005; GEN-VIS-001; JRN-TIV-001; DOM-RLMA-ABL-002; DOM-RL_M-ROB; DOM-RL_M-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_020.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Zhou_2024_TIV_Enhancing-System-Level-Safety-in-Mixed-Autonomy-Platoon-via-Safe-Reinf.pdf
EX_021,P087,10.1109/tro.2024.3434208,Contact Models in Robotics: A Comparative Analysis,TRO,2024,COMPARATIVE_EXPERIMENT,FIGURE; PLANNING; RESULT_NARRATIVE; RL_MARL; TABLE,RL_MARL,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,RL / MARL method paper,BASIC,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,4,2,4,3,3,4,3.33,GEN-EVD-001; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_021.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Lidec_2024_TRO_Contact-Models-in-Robotics-A-Comparative-Analysis.pdf
EX_022,P028,10.1109/tcst.2022.3211130,Distributed Nonlinear Trajectory Optimization for Multi-Robot Motion Planning,TCST,2022,TRAJECTORY_OPTIMIZATION,CONTROL; EXPERIMENT_ARCHITECTURE; FIGURE; MULTI_AGENT; REAL_WORLD; TABLE; THEORY,MULTI_AGENT_DECISION,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,Autonomous vehicle paper,MEDIUM,HIGH,YES,3,3,4,5,4,4,3.83,GEN-EVD-001; GEN-VIS-001; JRN-TCST-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-NAVI-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_022.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Ferranti_2022_TCST_Distributed-Nonlinear-Trajectory-Optimization-for-Multi-Robot-Motion-P.pdf
EX_023,P031,10.1109/tcst.2022.3216989,Multitrajectory Model Predictive Control for Safe UAV Navigation in an Unknown Environment,TCST,2022,NAVIGATION_PLANNING,CONTROL; FIGURE; PLANNING; RESULT_NARRATIVE; THEORY; UAV,UAV_AUTONOMY,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,UAV autonomy paper,MEDIUM,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,4,1,4,4,3,4,3.33,GEN-EVD-001; GEN-VIS-001; JRN-TCST-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-UAV_-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_023.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Saccani_2022_TCST_Multitrajectory-Model-Predictive-Control-for-Safe-UAV-Navigation-in-an.pdf
EX_024,P001,10.1109/tac.2021.3097706,Distributionally Robust Chance Constrained Data-Enabled Predictive Control,TAC,2021,THEORY,CONTROL; PLANNING; THEORY; UAV,UAV_AUTONOMY,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,UAV autonomy paper,HIGH,BASIC,NO_EXPLICIT_EVIDENCE_DETECTED,1,1,4,4,2,3,2.5,GEN-EVD-001; GEN-VIS-001; JRN-TAC-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-UAV_-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_024.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf
EX_025,P068,10.1109/tiv.2022.3214777,Mixed-Integer and Conditional Trajectory Planning for an Autonomous Mining Truck in Loading/Dumping Scenarios: A Global Optimization Approach,TIV,2022,TRAJECTORY_OPTIMIZATION,PLANNING; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; TABLE,NAVIGATION_PLANNING,TRAJECTORY_OPTIMIZATION; ROBOTICS,Navigation / planning paper,BASIC,MEDIUM,YES,2,2,3,5,3,3,3.0,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; JRN-TIV-001; DOM-ROBO-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_025.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIV\Li_2022_TIV_Mixed-Integer-and-Conditional-Trajectory-Planning-for-an-Autonomous-Mi.pdf
EX_026,P088,10.1109/tro.2023.3264950,NEPTUNE: Nonentangling Trajectory Planning for Multiple Tethered Unmanned Vehicles,TRO,2023,FIGURE_ARCHITECTURE,FIGURE; MULTI_AGENT; REAL_WORLD; RESULT_NARRATIVE; RL_MARL; TABLE; THEORY,UAV_AUTONOMY,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,UAV autonomy paper,MEDIUM,MEDIUM,YES,5,2,4,4,3,4,3.67,GEN-EVD-001; GEN-EVD-002; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_026.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Cao_2023_TRO_NEPTUNE-Nonentangling-Trajectory-Planning-for-Multiple-Tethered-Unmann.pdf
EX_027,P095,10.1109/tvt.2025.3596466,Enhancing the Robustness of UAV Search Path Planning Based on Deep Reinforcement Learning for Complex Disaster Scenarios,TVT,2026,ROBUSTNESS_DESIGN,FIGURE; INTRODUCTION; PLANNING; RL_MARL; TABLE; UAV,UAV_AUTONOMY,RL_MARL; NAVIGATION_PLANNING; ROBOTICS,UAV autonomy paper,BASIC,BASIC,NO_EXPLICIT_EVIDENCE_DETECTED,3,2,5,3,2,4,3.17,GEN-EVD-001; GEN-VIS-001; JRN-TVT-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_027.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Liang_2026_TVT_Enhancing-the-Robustness-of-UAV-Search-Path-Planning-Based-on-Deep-Rei.pdf
