Exemplar_ID,Rule_ID,Relationship,Evidence_Strength,Notes
EX_002,JRN-TIE-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TIE; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
EX_002,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
EX_002,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
EX_002,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
EX_003,GEN-ARCH-001,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_003,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_003,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_003,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_003,JRN-TCST-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TCST; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_003,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_003,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION.
EX_004,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_004,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_004,GEN-EVD-005,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_004,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_004,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_004,JRN-TSMCS-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TSMCS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_004,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION.
EX_005,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_005,GEN-EVD-005,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_005,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_005,JRN-TIE-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TIE; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_005,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_005,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_005,DOM-ROBO-RUN,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD.
EX_006,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_006,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_006,DOM-RLMA-ABL-002,SUPPORTS,HIGH,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_006,GEN-EVD-004,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_006,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_006,JRN-TRO-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TRO; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_006,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE.
EX_007,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_007,GEN-EVD-004,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_007,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_007,JRN-TNNLS-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TNNLS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_007,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_007,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_007,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; RUNTIME.
EX_008,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_008,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_008,JRN-TCYB-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TCYB; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_008,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_008,DOM-UAV_-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:UAV_AUTONOMY; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_008,DOM-UAV_-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:UAV_AUTONOMY; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_008,DOM-UAV_-RUN,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:UAV_AUTONOMY; paper evidence=MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO.
EX_009,GEN-ARCH-001,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_009,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_009,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_009,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_009,JRN-TASE-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TASE; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_009,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_009,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; SCALABILITY; RUNTIME.
EX_010,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_010,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_010,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_010,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_010,JRN-TIE-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TIE; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_010,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_010,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_011,GEN-ARCH-001,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_011,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_011,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_011,JRN-TASE-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TASE; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_011,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_011,DOM-UAV_-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:UAV_AUTONOMY; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_011,DOM-UAV_-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:UAV_AUTONOMY; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL.
EX_012,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_012,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_012,JRN-TIV-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TIV; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_012,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_012,DOM-RL_M-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_012,DOM-RL_M-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_012,DOM-RL_M-RUN,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD.
EX_013,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_013,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_013,JRN-TRO-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TRO; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_013,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_013,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_013,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_013,DOM-ROBO-RUN,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO.
EX_014,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_014,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_014,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_014,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_014,JRN-TIE-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TIE; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_014,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_014,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; RUNTIME; REAL_WORLD.
EX_015,GEN-EVD-005,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_015,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_015,JRN-TMECH-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TMECH; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_015,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_015,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_015,DOM-ROBO-RUN,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_015,DOM-NAVI-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:NAVIGATION_PLANNING; paper evidence=MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD.
EX_016,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_016,GEN-EVD-005,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_016,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_016,JRN-TCST-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TCST; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_016,DOM-RLMA-ABL-002,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_016,DOM-ROBO-ROB,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_016,DOM-ROBO-REAL,DOMAIN_SPECIFIC_EXAMPLE,MEDIUM,Linked through DOMAIN:ROBOTICS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY.
EX_017,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_017,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_017,DOM-RLMA-ABL-002,SUPPORTS,HIGH,Linked through DOMAIN:RL_MARL; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_017,GEN-EVD-005,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_017,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_017,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_017,JRN-TRO-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TRO; paper evidence=MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST.
EX_018,GEN-ARCH-001,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=GENERALIZATION; REAL_WORLD.
EX_018,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=GENERALIZATION; REAL_WORLD.
EX_018,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=GENERALIZATION; REAL_WORLD.
EX_018,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=GENERALIZATION; REAL_WORLD.
