Paper_ID,DOI,Role,Journal,Figure_count,Figure_panels_estimated,Figure_types_detected,First_figure_caption_excerpt,Table_count,Table_types_detected,First_table_caption_excerpt,Source_PDF,Status
P011,10.1109/taes.2025.3633213,A,TAES,14,24,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Schematic of the multistep PTG.,6,COMPLEXITY; ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS,Environment Parameters,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Liu_2026_TAES_A-Deep-Reinforcement-Learning-Based-UAV-Trajectory-Planning-Method-for.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P012,10.1109/tai.2023.3237665,A,TAI,6,11,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO, Illustration of the proposed RGCRL framework for robotic control in adversarial and sparse reward environments.,2,BASELINE_DESCRIPTION; COMPLEXITY; PARAMETERS,MAIN HYPERPARAMETERS OF THE RGCRL AND BASELINE ALGORITHMS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\He_2024_TAI_Robotic-Control-in-Adversarial-and-Sparse-Reward-Environments-A-Robust.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P013,10.1109/tai.2024.3351797,A,TAI,8,12,QUANTITATIVE_RESULT; SCENARIO," We illustrate the safe RL by a 2-D obstacle avoi dance task where the constraint is the red area. In the constraint perception phase, we pretrain a",1,UNKNOWN,WILCOXON RANK-SUM TEST BETWEEN STATE-OF-THE-ART,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\Fan_2024_TAI_Learn-From-Safe-Experience-Safe-Reinforcement-Learning-for-Task-Automa.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P014,10.1109/tai.2025.3607722,A,TAI,8,27,METHOD_FRAMEWORK; PROBLEM; QUALITATIVE_RESULT; ROBUSTNESS; SCENARIO; TRAJECTORY, Schematic diagram of the proposed multirate distributed RHRL,2,ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS,NUMERICAL COMPARISONS WITH ALGORITHMS WORKING AT SINGLE,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\Zhang_2026_TAI_Multirate-Distributed-Receding-Horizon-Reinforcement-Learning-for-Opti.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P015,10.1109/tai.2025.3607790,A,TAI,8,9,UNKNOWN, Interaction graph of the clusters.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\Li_2026_TAI_Distributed-Reinforcement-Learning-Optimal-Cluster-Consensus-Control-f.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P016,10.1109/tase.2025.3558945,A,TASE,8,16,QUANTITATIVE_RESULT; TRAJECTORY, Laser-Charged UA V data collection and rechargeable SN for agricul-,4,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,COMPARISON OF OUR PROPOSED WORK WITH EXISTING STUDIES,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Betalo_2025_TASE_Dynamic-Charging-and-Path-Planning-for-UAV-Powered-Rechargeable-WSNs-U.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P017,10.1109/tase.2024.3432405,A,TASE,9,11,PROBLEM; QUANTITATIVE_RESULT; REAL_WORLD; ROBUSTNESS; SCENARIO; SENSITIVITY," ConsDRED-SMPC: (i) a wind estimator, i.e., VID-Fusion [20]; (ii) an",5,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,COMPARISON OF TRACKING CONTROL METHODS FOR QUADROTOR UAVs,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Wang_2025_TASE_Constrained-Reinforcement-Learning-Using-Distributional-Representation.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P018,10.1109/tase.2025.3574280,A,TASE,7,14,PROBLEM; SCENARIO, The schematic of the multi-agent system for CA V control.,4,ENVIRONMENT_SETTINGS; MAIN_COMPARISON,AN OVERVIEW OF THE PRIMARY WORKS FOR MARL A LGORITHMS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Hua_2025_TASE_Multi-Agent-Reinforcement-Learning-for-Connected-and-Automated-Vehicle.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P019,10.1109/tase.2026.3653413,A,TASE,15,44,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; SYSTEM_OVERVIEW; TRAJECTORY, System architecture diagram of the integrated approach using improved,7,COMPLEXITY; PARAMETERS,THEORETICAL DOMAINS AND FUZZY SUBSETS OF INPUTS AND OUTPUTS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Chen_2026_TASE_A-Dynamic-Path-Planning-and-Tracking-Control-of-Autonomous-Vehicles-An.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P020,10.1109/tase.2026.3689345,A,TASE,13,25,ABLATION; METHOD_FRAMEWORK; PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO; SENSITIVITY, Overview of the agents trainer architecture: blue solid arrows denote the single forward training ﬂow A→ B → C → D (Task → Scenario → Reward,8,ABLATION; ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PHYSICAL_EXPERIMENT,FUNCTIONALITY OF EACH LLM-B ASED AGENT MODULE,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Lou_2026_TASE_Agents-Trainer-Automatically-Training-Multi-Agent-Reinforcement-Learni.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P021,10.1109/tase.2025.3601665,A,TASE,17,33,METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Illustration of UA V rescue operations.,6,ABLATION; ENVIRONMENT_SETTINGS; MAIN_COMPARISON; PARAMETERS,EXPERIMENTAL PARAMETER SETTINGS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Ren_2025_TASE_PG-ITD3-A-Potential-Field-Guided-Deep-Reinforcement-Learning-Approach-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P022,10.1109/tase.2024.3424677,A,TASE,9,18,PROBLEM; QUANTITATIVE_RESULT; SCENARIO, A set of robotic flexible fixtures working with a serial manipulator,3,MAIN_COMPARISON,COMPARISON OF POLICY TYPES FOR NASH -Q L EARNING,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Canzini_2025_TASE_Decision-Making-for-Multi-Robot-Fixture-Planning-Using-Multi-Agent-Rei.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P023,10.1109/tcns.2026.3722606,A,TCNS,8,7,QUALITATIVE_RESULT; SCENARIO, A dynamical dependency graph illustrating the entangled dynamics,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Lin_2026_TCNS_Disentangled-Control-of-Multi-Agent-Systems.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P024,10.1109/tcns.2026.3697318,A,TCNS,8,10,QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, (1a) The attacker deviates the red robot into a forbidden,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Yang_2026_TCNS_Enhancing-Security-in-Multi-Robot-Systems-through-Co-Observation-Plann.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P025,10.1109/tcns.2024.3378392,A,TCNS,15,16,TRAJECTORY, Diagram of an ASV .,1,UNKNOWN, The desired formation is a regular hexagon de-,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Restrepo_2024_TCNS_Tracking-Control-of-Cooperative-Marine-Vehicles-Under-Hard-and-Soft-Co.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P026,10.1109/tcns.2021.3124926,A,TCNS,6,6,UNKNOWN, A network of 25 agents where Ni = {j : (i − j) mod 25 = 2 }.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Maity_2021_TCNS_Multiagent-Consensus-Subject-to-Communication-and-Privacy-Constraints.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P027,10.1109/tcst.2025.3533378,A,TCST,15,26,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Reach-avoid scenario where the ego vehicle (EV) aims at planning,5,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,COMPUTATION TIME OF DIFFERENT METHODS FOR LEARNING THE SET,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Zhou_2025_TCST_Robust-Predictive-Motion-Planning-by-Learning-Obstacle-Uncertainty.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P028,10.1109/tcst.2022.3211130,A,TCST,12,26,METHOD_FRAMEWORK; PROBLEM; QUANTITATIVE_RESULT; SCENARIO; SENSITIVITY, Overview of the proposed appr oaches for multi-robot coordination,5,MAIN_COMPARISON,CONSTRAINT BOUNDS AND RELEV ANT QUANTITIES USED FOR,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Ferranti_2022_TCST_Distributed-Nonlinear-Trajectory-Optimization-for-Multi-Robot-Motion-P.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P029,10.1109/tcst.2026.3661166,A,TCST,5,10,PROBLEM; QUANTITATIVE_RESULT; SCENARIO, Problem overview for risk-aware motion planning.,5,MAIN_COMPARISON, Comparisons of average and maximum branch-and-,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Robbins_2026_TCST_Mixed-Integer-MPC-Based-Motion-Planning-Using-Hybrid-Zonotopes-With-Ti.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P030,10.1109/tcst.2023.3323766,A,TCST,9,13,QUALITATIVE_RESULT; TRAJECTORY, Illustration of the USV dynamics.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Hu_2023_TCST_Coordinated-Navigation-Control-of-Cross-Domain-Unmanned-Systems-via-Gu.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P031,10.1109/tcst.2022.3216989,A,TCST,15,23,QUANTITATIVE_RESULT; RUNTIME; SCENARIO; TRAJECTORY, Hierarchical structure of the UA V control system and of the propos ed approach: an existing low-level position controller tracks the referenc e,1,COMPLEXITY; PARAMETERS,PARAMETERS EMPLOYED IN THE NUMERICAL SIMULATIONS WHERE md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Saccani_2022_TCST_Multitrajectory-Model-Predictive-Control-for-Safe-UAV-Navigation-in-an.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P032,10.1109/tcst.2026.3659194,A,TCST,8,14,QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Simpliﬁed obstacle layout in Gazebo environment to explain the open,4,MAIN_COMPARISON,TEMPORAL AND SPATIAL DISTANCES BETWEEN ROBOT PAIRS FOR TWO,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Mazen_2026_TCST_B-zier-Curve-Based-Optimization-Framework-for-Multirobot-Motion-Planni.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P033,10.1109/tcyb.2023.3246985,A,TCYB,6,27,GENERALIZATION; PROBLEM; QUANTITATIVE_RESULT; SCENARIO; SYSTEM_OVERVIEW, Problem scenario considered in this article.,5,COMPLEXITY; ENVIRONMENT_SETTINGS; GENERALIZATION; MAIN_COMPARISON; PARAMETERS,PARAMETERS OF ALGORITHM 1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Bai_2023_TCYB_Learning-Based-Multi-UAV-Flocking-Control-With-Limited-Visual-Field-an.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P034,10.1109/tcyb.2021.3132587,A,TCYB,11,27,METHOD_FRAMEWORK; QUALITATIVE_RESULT, Synchronized ﬂight of bird ﬂocks and formation ﬂight of a group of,1,UNKNOWN,LIST OF KEY SYMBOLS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Wu_2021_TCYB_Distributed-UAV-Swarm-Formation-and-Collision-Avoidance-Strategies-Ove.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P035,10.1109/tcyb.2021.3070385,A,TCYB,15,50,PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Model of the WMR used in this article.,2,COMPLEXITY; MAIN_COMPARISON; PARAMETERS," Moreover, the main contributions of this study are",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Li_2021_TCYB_Simultaneous-Obstacle-Avoidance-and-Target-Tracking-of-Multiple-Wheele.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P036,10.1109/tcyb.2021.3057219,A,TCYB,13,13,PROBLEM; SCENARIO, Triangle formation.,2,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,PARAMETERS OF k1i(t) IN (35) WITH ι= 2,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Zhou_2021_TCYB_Fixed-Time-Cooperative-Behavioral-Control-for-Networked-Autonomous-Age.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P037,10.1109/tcyb.2023.3263380,A,TCYB,6,6,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, Proposed hierarchical framework.,3,MAIN_COMPARISON,"SYNERGY MATRIX .E ACH ELEMENT si,j REPRESENTS THE INCREMENT",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Faroni_2023_TCYB_Optimal-Task-and-Motion-Planning-and-Execution-for-Multiagent-Systems-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P038,10.1109/tevc.2025.3535954,A,TEVC,8,16,METHOD_FRAMEWORK, Decision space and objective space in MMOP.,2,MAIN_COMPARISON,HV VALUES OF ALL COMPARISON ALGORITHMS ON DIFFERENT MRTA INSTANCES,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TEVC\Yu_2025_TEVC_A-Deep-Reinforcement-Learning-Assisted-Multimodal-Multiobjective-Bilev.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P039,10.1109/tevc.2025.3573828,A,TEVC,5,13,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, Taking a VSR with (5 × 5) grid size as an example. The red panel,7,COMPLEXITY; PARAMETERS,"THREE TASK GROUPS .T HE NONBOLD TASKS IN EACH GROUP ARE EASY TASKS USED TO TRAIN TRANSFORM NET,",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TEVC\Zhao_2026_TEVC_Cross-Task-Collaborative-Optimization-Based-on-Knowledge-Transfer-for-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P040,10.1109/tevc.2025.3534026,A,TEVC,19,57,QUALITATIVE_RESULT; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, Example of the environment and path representation. The path is,1,MAIN_COMPARISON,COMPARISON OF PATH PLANNING PERFORMANCE BETWEEN THE PROPOSED GA AND THE TRADITIONAL GA,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TEVC\Li_2025_TEVC_A-Novel-Knowledge-Based-Genetic-Algorithm-for-Robot-Path-Planning-in-C.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P041,10.1109/tfuzz.2025.3585934,A,TFS,5,21,METHOD_FRAMEWORK; PROBLEM; REAL_WORLD; SCENARIO, Overview of catheter and guidewire intraoperative navigation in,3,MAIN_COMPARISON,COMPARISON OF PAT HRAT I OPERFORMANCE FOR VARIOUS RL METHODS IN ENDOV ASCULARNA VIGA TIONTASKS ACROSS DIFFERENT VASCULAR MODELS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Yao_2026_TFS_Multiagent-Fuzzy-Reinforcement-Learning-With-LLM-for-Cooperative-Navig.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P042,10.1109/tfuzz.2024.3450892,A,TFS,8,18,PROBLEM; QUANTITATIVE_RESULT; REAL_WORLD; ROBUSTNESS; SCENARIO, Structure of adaptive fuzzy inference module. Each element represents,4,ENVIRONMENT_SETTINGS; PARAMETERS; PHYSICAL_EXPERIMENT,CONFIGURA TIONS FOR REAL-WORLD TRAFFIC DATA,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Xu_2025_TFS_Deep-Reinforcement-Learning-With-Fuzzy-Feature-Fusion-for-Cooperative-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P043,10.1109/tfuzz.2025.3642241,A,TFS,5,15,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; TRAJECTORY, Research framework of this article.,4,UNKNOWN,DEFINITIONS OF VARIABLES AND OPERA TORS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Ma_2026_TFS_Logic-Adaptive-Discrete-Neural-Dynamics-for-Distributed-Cooperative-Co.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P044,10.1109/tfuzz.2021.3067724,A,TFS,16,20,QUANTITATIVE_RESULT; ROBUSTNESS; SCENARIO; TRAJECTORY, Illustrations of the modeling procedure of fuzzy uncertainty. (a) Tire,2,COMPLEXITY; PARAMETERS,MAIN NOMINAL DYNAMIC PARAMETERS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Yang_2022_TFS_Design-and-Optimization-of-Robust-Path-Tracking-Control-for-Autonomous.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P045,10.1109/tie.2024.3363761,A,TIE,8,21,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; SCENARIO, General framework of the proposed semantic-driven UAV,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Yue_2024_TIE_Semantic-Driven-Autonomous-Visual-Navigation-for-Unmanned-Aerial-Vehic.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P046,10.1109/tie.2025.3536628,A,TIE,17,19,GENERALIZATION; QUANTITATIVE_RESULT, Diagram of control structure.,1,UNKNOWN,MSE OF THE TRACKING ERRORS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Li_2025_TIE_Model-Predictive-Optimization-and-Terminal-Sliding-Mode-Motion-Control.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P047,10.1109/tie.2023.3306405,A,TIE,11,22,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; RUNTIME, Selections of critical points in UR5.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Zhu_2023_TIE_Real-Time-Dynamic-Obstacle-Avoidance-for-Robot-Manipulators-Based-on-C.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P048,10.1109/tie.2025.3639779,A,TIE,6,14,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, The overview of the proposed method framework.,2,COMPLEXITY; PARAMETERS,PARAMETERS OF THE PROPOSED METHOD,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Dong_2026_TIE_EDEN-Efficient-Dual-Layer-Exploration-Planning-for-Fast-UAV-Autonomous.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P049,10.1109/tie.2021.3070508,A,TIE,13,22,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; SCENARIO, Autonomous navigation framework of the wheel-legged robot.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Li_2021_TIE_OpenStreetMap-Based-Autonomous-Navigation-for-the-Four-Wheel-Legged-Ro.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P050,10.1109/tie.2023.3299048,A,TIE,7,19,SCENARIO; TRAJECTORY, Left: The quadruped robot originally plans to fetch a Coke in,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Zhou_2023_TIE_Vision-Based-Reactive-Temporal-Logic-Motion-Planning-for-Quadruped-Rob.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P051,10.1109/tii.2024.3438241,A,TII,12,14,QUANTITATIVE_RESULT, UAV body coordinates and rotor number.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Liu_2024_TII_Reinforcement-Learning-Based-Fault-Tolerant-Control-for-Quadrotor-UAVs.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P052,10.1109/tii.2026.3658768,A,TII,8,16,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Vehicle dynamics with a reference trajectory .,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Chen_2026_TII_Direct-Data-Driven-Trajectory-Tracking-Control-for-Autonomous-Vehicles.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P053,10.1109/tii.2025.3593966,A,TII,6,16,QUANTITATIVE_RESULT; TRAJECTORY, Overview of UAV inspections in offshore wind farms.,1,UNKNOWN,compares UA V deployment numbers across different,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Zhang_2025_TII_Hybrid-Deep-Reinforcement-Learning-for-UAV-Inspection-in-Large-Scale-W.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P054,10.1109/tii.2024.3468453,A,TII,8,16,ABLATION; METHOD_FRAMEWORK; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, 24-DOF real-world bipedal robot and simulation. URL-based,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\He_2025_TII_Robotic-Locomotion-Skill-Learning-Using-Unsupervised-Reinforcement-Lea.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
