Rule_ID,Rule_statement,Scope,Evidence_count,Eligible_sample_count,Evidence_ratio,Representative_papers,Counterexamples,Confidence,Applicability,Do_not_apply_when,Notes,B_level_validation
DOM-MULT-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:MULTI_AGENT_DECISION,7,43,0.163,10.1109/tac.2022.3144107; 10.1109/taes.2025.3624705; 10.1109/tase.2026.3689345; 10.1109/tcyb.2023.3246985,10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728; 10.1109/tac.2024.3386024,DOMAIN_SPECIFIC,MULTI_AGENT_DECISION,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 6 journals. Absence means not detected, not proven absent.",0/11
DOM-MULT-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:MULTI_AGENT_DECISION,16,43,0.372,10.1109/tase.2025.3574280; 10.1109/tase.2026.3689345; 10.1109/tcns.2026.3722606; 10.1109/tcst.2022.3211130,10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,DOMAIN_SPECIFIC,MULTI_AGENT_DECISION,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 10 journals. Absence means not detected, not proven absent.",7/11
DOM-MULT-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:MULTI_AGENT_DECISION,17,43,0.395,10.1109/tac.2024.3386024; 10.1109/taes.2025.3624705; 10.1109/taes.2024.3485601; 10.1109/tase.2025.3558945,10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,DOMAIN_SPECIFIC,MULTI_AGENT_DECISION,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 8 journals. Absence means not detected, not proven absent.",5/11
DOM-CONT-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:CONTROL,9,46,0.196,10.1109/tac.2022.3144107; 10.1109/taes.2025.3624705; 10.1109/tcyb.2023.3246985; 10.1109/tcyb.2021.3070385,10.1109/tac.2021.3097706; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,DOMAIN_SPECIFIC,CONTROL,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 7 journals. Absence means not detected, not proven absent.",1/9
DOM-CONT-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:CONTROL,23,46,0.5,10.1109/tase.2024.3432405; 10.1109/tase.2026.3653413; 10.1109/tcns.2026.3722606; 10.1109/tcst.2025.3533378,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296,DOMAIN_SPECIFIC,CONTROL,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 15 journals. Absence means not detected, not proven absent.",6/9
DOM-CONT-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:CONTROL,19,46,0.413,10.1109/taes.2025.3624705; 10.1109/taes.2024.3485601; 10.1109/tase.2026.3653413; 10.1109/tcst.2025.3533378,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296,DOMAIN_SPECIFIC,CONTROL,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 12 journals. Absence means not detected, not proven absent.",4/9
DOM-TRAJ-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:TRAJECTORY_OPTIMIZATION,3,17,0.176,10.1109/taes.2025.3624705; 10.1109/tro.2025.3593109; 10.1109/tsmc.2023.3299237,10.1109/tac.2024.3386024; 10.1109/taes.2025.3569615; 10.1109/taes.2024.3485601,DOMAIN_SPECIFIC,TRAJECTORY_OPTIMIZATION,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 3 journals. Absence means not detected, not proven absent.",0/2
DOM-TRAJ-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:TRAJECTORY_OPTIMIZATION,8,17,0.471,10.1109/tcst.2025.3533378; 10.1109/tcst.2022.3211130; 10.1109/tie.2025.3536628; 10.1109/tie.2023.3306405,10.1109/tac.2024.3386024; 10.1109/taes.2025.3569615; 10.1109/taes.2025.3624705,DOMAIN_SPECIFIC,TRAJECTORY_OPTIMIZATION,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 5 journals. Absence means not detected, not proven absent.",0/2
DOM-TRAJ-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:TRAJECTORY_OPTIMIZATION,13,17,0.765,10.1109/tac.2024.3386024; 10.1109/taes.2025.3624705; 10.1109/taes.2024.3485601; 10.1109/tcst.2025.3533378,10.1109/taes.2025.3569615; 10.1109/tcst.2026.3661166; 10.1109/tim.2025.3562241,DOMAIN_SPECIFIC,TRAJECTORY_OPTIMIZATION,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 7 journals. Absence means not detected, not proven absent.",1/2
JRN-TRO-001,"For system-oriented papers in this journal sample, treat physical validation as a recurring venue-conditioned evidence layer.",JOURNAL:TRO,6,10,0.6,10.1109/tro.2025.3530348; 10.1109/tro.2026.3651669; 10.1109/tro.2023.3275875; 10.1109/tro.2023.3264950,10.1109/tro.2021.3137751; 10.1109/tro.2022.3232300; 10.1109/tro.2024.3434208,JOURNAL_SPECIFIC,TRO,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TCYB-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TCYB,4,5,0.8,10.1109/tcyb.2023.3246985; 10.1109/tcyb.2021.3132587; 10.1109/tcyb.2021.3070385; 10.1109/tcyb.2021.3057219,10.1109/tcyb.2023.3263380,JOURNAL_SPECIFIC,TCYB,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",0/1
JRN-TNNLS-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TNNLS,3,5,0.6,10.1109/tnnls.2021.3056046; 10.1109/tnnls.2022.3191021; 10.1109/tnnls.2024.3350679,10.1109/tnnls.2023.3247160; 10.1109/tnnls.2026.3685832,JOURNAL_SPECIFIC,TNNLS,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TSMCS-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TSMCS,1,3,0.333,10.1109/tsmc.2023.3299237,10.1109/tsmc.2026.3720408; 10.1109/tsmc.2025.3551291,JOURNAL_SPECIFIC,TSMCS,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",NOT_APPLICABLE
JRN-TAC-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TAC,4,5,0.8,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,10.1109/tac.2024.3386024,JOURNAL_SPECIFIC,TAC,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TCST-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TCST,5,6,0.833,10.1109/tcst.2025.3533378; 10.1109/tcst.2022.3211130; 10.1109/tcst.2026.3661166; 10.1109/tcst.2023.3323766,10.1109/tcst.2026.3659194,JOURNAL_SPECIFIC,TCST,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TCNS-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TCNS,4,4,1.0,10.1109/tcns.2026.3722606; 10.1109/tcns.2026.3697318; 10.1109/tcns.2024.3378392; 10.1109/tcns.2021.3124926,NONE_DETECTED,JOURNAL_SPECIFIC,TCNS,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",NOT_APPLICABLE
JRN-TIE-001,"For system-oriented papers in this journal sample, treat physical validation as a recurring venue-conditioned evidence layer.",JOURNAL:TIE,5,6,0.833,10.1109/tie.2024.3363761; 10.1109/tie.2025.3536628; 10.1109/tie.2023.3306405; 10.1109/tie.2025.3639779,10.1109/tie.2021.3070508,JOURNAL_SPECIFIC,TIE,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TMECH-001,"For system-oriented papers in this journal sample, treat physical validation as a recurring venue-conditioned evidence layer.",JOURNAL:TMECH,3,6,0.5,10.1109/tmech.2026.3658866; 10.1109/tmech.2025.3570573; 10.1109/tmech.2021.3090838,10.1109/tmech.2023.3235906; 10.1109/tmech.2022.3142756; 10.1109/tmech.2025.3592930,JOURNAL_SPECIFIC,TMECH,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TIV-001,"For system-oriented papers in this journal sample, treat physical validation as a recurring venue-conditioned evidence layer.",JOURNAL:TIV,3,5,0.6,10.1109/tiv.2025.3598768; 10.1109/tiv.2022.3214777; 10.1109/tiv.2023.3314709,10.1109/tiv.2024.3373512; 10.1109/tiv.2022.3185159,JOURNAL_SPECIFIC,TIV,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/3
JRN-TVT-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TVT,3,6,0.5,10.1109/tvt.2024.3389555; 10.1109/tvt.2023.3262778; 10.1109/tvt.2024.3383352,10.1109/tvt.2025.3596466; 10.1109/tvt.2025.3606201; 10.1109/tvt.2024.3419842,JOURNAL_SPECIFIC,TVT,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",2/2
JRN-TAES-001,"For method/control papers in this journal sample, make assumptions and theoretical justification visible when they carry a central claim.",JOURNAL:TAES,5,6,0.833,10.1109/taes.2024.3401668; 10.1109/taes.2025.3569615; 10.1109/taes.2025.3624705; 10.1109/taes.2024.3485601,10.1109/taes.2025.3633213,JOURNAL_SPECIFIC,TAES,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",1/1
JRN-TASE-001,"For system-oriented papers in this journal sample, treat physical validation as a recurring venue-conditioned evidence layer.",JOURNAL:TASE,5,7,0.714,10.1109/tase.2024.3432405; 10.1109/tase.2025.3574280; 10.1109/tase.2026.3653413; 10.1109/tase.2026.3689345,10.1109/tase.2025.3558945; 10.1109/tase.2024.3424677,JOURNAL_SPECIFIC,TASE,the target venue or primary paper type differs,"Derived from A-level paper anatomy; support spans 1 journals. Absence means not detected, not proven absent.",2/2
