Paper_ID,DOI,Role,Figure_number,PDF_page,Figure_types,Caption_excerpt,Caption_word_count,Source_status,Panel_count_estimated,Column_span,Text_density
P006,10.1109/taes.2024.3401668,A,1,2,UNCLASSIFIED,QUA V conﬁguration.,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P006,10.1109/taes.2024.3401668,A,2,7,UNCLASSIFIED,QUA V attitude experiment system.,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P006,10.1109/taes.2024.3401668,A,3,7,QUANTITATIVE_RESULT,Tracking performance of the attitude angle state vector ϑ1 (t ).,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P006,10.1109/taes.2024.3401668,A,4,7,UNCLASSIFIED,Tracking error vector e1 (t ) of three attitude angle states.,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P006,10.1109/taes.2024.3401668,A,5,8,QUANTITATIVE_RESULT,Tracking performance of the angular velocity state vector ϑ2 (t ).,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P006,10.1109/taes.2024.3401668,A,6,8,UNCLASSIFIED,Tracking error vector e2 (t ) of three attitude angular velocity,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P006,10.1109/taes.2024.3401668,A,7,8,SENSITIVITY,Critic and actor FLS parameter vectors and the cost function.,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,1,8,SENSITIVITY,"Illustrating SA3C methodology, featuring state “s,” next-state “s ′,” action “a,” reward “r,” done parameter “d,” target-critic “T.Critic,” FC for",20,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,2,10,UNCLASSIFIED,DRL networks episodic return/scores for all training episodes,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,3,10,UNCLASSIFIED,Predicted thrust angle proﬁles (in radians) for the,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,4,10,SENSITIVITY,"Convergence plots depict orbital parameter variation (a sm,e ,i )",10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,5,12,SENSITIVITY,"Convergence plots depict orbital parameter variation (a sm,e ,i ,",10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,6,12,SENSITIVITY,"Convergence plots depict orbital parameter variation (a sm,e ,i ,",10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,7,11,UNCLASSIFIED,presents the training scores and episodic times,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,8,13,TRAJECTORY,3-D visualization of complete trajectory from super-GTO to,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P007,10.1109/taes.2025.3569615,A,9,14,QUANTITATIVE_RESULT,Trained agent performance under thrust uncertainties and initial,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,1,3,UNCLASSIFIED,ECI Oℐ− ˆX ˆY ˆZ frame and L VLHOℒ − ˆxˆyˆz.,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,2,7,UNCLASSIFIED,,0,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,3,8,UNCLASSIFIED,Block diagram of the approach. The incorporation of the MPC method as the terminal layer within the actor network for action computation,22,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,4,9,UNCLASSIFIED,2-D shapes of reachable set. The impact of the reachable set of,12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,5,10,UNCLASSIFIED,"2-D example of the convexiﬁcation of collision-avoidance constraints. After computing all the closest points at time t1,t h e",19,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,6,10,UNCLASSIFIED,2-D shapes of reachable set. The impact of the reachable set of,12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,7,12,UNCLASSIFIED,Training reward curves of learning-based model predictive,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,8,13,UNCLASSIFIED,Transfer process of the swarm with 16 spacecraft. (a) The swarm,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,9,14,UNCLASSIFIED,Transfer process of the swarm with 48 spacecraft. (a) The swarm,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P008,10.1109/taes.2025.3624705,A,10,14,QUANTITATIVE_RESULT,Comparison results with three baseline algorithms.,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,1,3,UNCLASSIFIED,L VLH coordinates.,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,2,5,UNCLASSIFIED,Collision avoidance communication group.,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,3,7,UNCLASSIFIED,Linearization of collision avoidance constraints. (a) Nonlinear constraints. (b) Linear constraints. (c) Linear constraints 3-D view.,16,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,4,8,UNCLASSIFIED,Difference between MPC and ETMPC. (a) Illustration of MPC,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,5,9,UNCLASSIFIED,satj enters the collision risk zone of sati.,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,6,9,UNCLASSIFIED,Dk (t ).,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,7,10,UNCLASSIFIED,Collision avoidance communication group.,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,8,10,UNCLASSIFIED,DETMPC strategy.,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,9,12,UNCLASSIFIED,Collision avoidance feasibility condition.,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,10,13,UNCLASSIFIED,Illustration of formation reconﬁguration for spacecraft swarm.,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,11,14,UNCLASSIFIED,Relative distance among spacecraft (without collision,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,12,14,UNCLASSIFIED,Relative distance among spacecraft (with collision avoidance).,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,13,14,UNCLASSIFIED,Optimal trajectories of Sat 6 and Sat7 generated at t = 0 s.,13,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,14,14,UNCLASSIFIED,Optimal trajectories of Sat 6 and Sat7 generated at t = 67 s.,13,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,15,14,UNCLASSIFIED,Event triggering condition 1 and ∥ x∗,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,16,15,UNCLASSIFIED,Event triggering instances of Sat 7.,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,17,15,UNCLASSIFIED,Average number of triggered events for different α.,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,18,15,UNCLASSIFIED,Average increase /Delta1V compared to DMPC for different α.,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,19,16,UNCLASSIFIED,/Delta1V of different control strategies.,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,20,16,UNCLASSIFIED,Event triggering instances of all member satellites.,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P009,10.1109/taes.2024.3485601,A,21,16,UNCLASSIFIED,CPU time of different control strategies.,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,1,3,TRAJECTORY,Schematic diagram of UA V cooperative path planning.,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,2,6,PROBLEM; SCENARIO; TRAJECTORY; QUANTITATIVE_RESULT,Path planning results in the static scenario. (a) MAPIO,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,3,6,PROBLEM; SCENARIO; TRAJECTORY; QUANTITATIVE_RESULT,Path planning results in the dynamic scenario (with regular,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,4,6,TRAJECTORY,Path and distance of the moving target with irregular motion. (a),11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,5,7,PROBLEM; SCENARIO,Distance between each UA V in the static scenario. (a) MAPIO algorithm. (b) DPIO algorithm. (c) Improved A-Star algorithm.,19,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,6,7,PROBLEM; SCENARIO,Distance between UA Vs and moving targets in the dynamic scenario (with regular motion). (a) ET-MAPIO algorithm. (b) DDPIO algorithm.,20,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,2,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,7,8,UNCLASSIFIED,Objective function and iteration times versus the different,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,8,8,PROBLEM; SCENARIO,"shows that in different scenarios, autonomous",6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P010,10.1109/taes.2025.3550128,A,9,9,UNCLASSIFIED,Objective function versus iteration times. (a) Convergence of,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,1,2,UNCLASSIFIED,Schematic of the multistep PTG.,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,2,6,UNCLASSIFIED,Local coordinate system and auxiliary lines.,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,3,6,UNCLASSIFIED,Illustration of translation invariance.,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,4,7,UNCLASSIFIED,Illustration of scaling invariance.,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,5,8,UNCLASSIFIED,Structure of TD3.,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,6,8,SCENARIO,Diagram of the environment settings.,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,7,10,QUANTITATIVE_RESULT,Illustration of the following visualized results.,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,8,11,PROBLEM; SCENARIO,Scenario 1. U-shape PT. P-PSO fails because it does not satisfy the electromagnetic constraints. (a) P-PSO. (b) L-PSO. (c) R-TD3.,20,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,9,12,PROBLEM; SCENARIO,Scenario 2. The one-step optimization of the L-PSO leads to PT breaks. (a) P-PSO. (b) L-PSO. (c) R-TD3.,18,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,10,12,PROBLEM; SCENARIO,Scenario 3. Hovering PT. Both P-PSO and L-PSO failed. (a) P-PSO. (b) L-PSO. (c) R-TD3.,15,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,11,13,UNCLASSIFIED,Distortion of PT when the UA V initial heading deviates.,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,12,14,UNCLASSIFIED,Mean PT completeness of R-TD3 and three variants.,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,13,14,UNCLASSIFIED,Mean total ﬂight distance of R-TD3 and two variants.,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P011,10.1109/taes.2025.3633213,A,14,14,UNCLASSIFIED,"Mean PT completeness of R-TD3, R-PPO, and R-SAC.",8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P012,10.1109/tai.2023.3237665,A,1,2,METHOD_FRAMEWORK; SCENARIO,Illustration of the proposed RGCRL framework for robotic control in adversarial and sparse reward environments.,15,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P012,10.1109/tai.2023.3237665,A,2,5,SCENARIO,Franka Emika Panda robot control environment. (a) Reach task. (b) Push task. (c) Pick-and-Place task. The target positions are green shaded.,21,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P012,10.1109/tai.2023.3237665,A,3,7,UNCLASSIFIED,"Training curves obtained via the TD3-HER, SAC-HER, RDDPG-HER, and RGCRL approaches on the three robotic control tasks with sparse rewards.",20,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P012,10.1109/tai.2023.3237665,A,4,7,UNCLASSIFIED,"Illustration of model testing scheme. In model testing, the robotic agent",11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P012,10.1109/tai.2023.3237665,A,5,8,UNCLASSIFIED,Success rate of different robotic agents under the mixed adversarial attacks on observations. (a) Reach task. (b) Push task. (c) Pick-and-pla ce task.,23,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P012,10.1109/tai.2023.3237665,A,6,8,ROBUSTNESS,Robustness of different robotic agents on the three robotic control tasks under the mixed adversarial attacks on observations.,18,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,1,4,UNCLASSIFIED,"We illustrate the safe RL by a 2-D obstacle avoi dance task where the constraint is the red area. In the constraint perception phase, we pretrain a",27,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,2,6,UNCLASSIFIED,"Simulation experiments domains: (a) surg ical toll agent should bypass the red circle area to r each the green target; (b) is similar to (a), the 2 -D tasks",29,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,2,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,3,7,SCENARIO,Learned geometry of the constraint. (a) and (b) Use the heatmap to visualize the geometry of constraints of tasks 1 and 2 as shown in Fig. 2.,27,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,2,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,4,7,UNCLASSIFIED,Reward learning curve: the curves show the CR in each episode an d averaged over every ten episodes. We run each algorithm ten times with,25,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,5,8,UNCLASSIFIED,"Cumulative task success curve: the cumulati ve successes in each task for each algorithm, with re sults averaged over ten runs for all algorithm s.",25,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,6,8,QUANTITATIVE_RESULT,"Cumulative constraint violation curve: t he cumulative violations in each task for each algorithm, with results averaged over ten runs for all algorithms.",23,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,7,9,UNCLASSIFIED,Physical experiment setup. The left side depicts the robotic system,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P013,10.1109/tai.2024.3351797,A,8,9,UNCLASSIFIED,Minimum distance between the center point of the PSM tool tip,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,1,2,UNCLASSIFIED,Schematic diagram of the proposed multirate distributed RHRL,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,2,4,UNCLASSIFIED,Illustrative example of the deﬁnition of neighbors in formation,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,3,9,PROBLEM; SCENARIO,Multirate UA V–UGV cooperation in a circular formation scenario. (a) Communication topology of the UA V–UGV system. (b) UA V–UGV formation,21,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,2,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,4,9,UNCLASSIFIED,"Learned cumulative cost with the running episode to go, where Jc",11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,5,10,PROBLEM; SCENARIO,"Multirate UA V–UGV cooperation in a cooper ative search scenario where UGVs retain the rectangular formation, and the UA Vs keep the circular",23,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,6,10,PROBLEM; SCENARIO,Multirate UA V–UGV cooperation i n a cooperative search scenario,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,7,11,METHOD_FRAMEWORK; TRAJECTORY; ROBUSTNESS,Scalability and robustness of t he proposed framework under a coordinated mission incl uding 6 UA Vs and 12 UGVs. (a) UA V–UGV formation paths,25,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P014,10.1109/tai.2025.3607722,A,8,12,METHOD_FRAMEWORK; QUALITATIVE_RESULT,Experimental validation of the proposed framework under a coordinated mission including 12 UA Vs and 6 UGVs. (a)–(f) Snapshots of critical,21,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,2,UNKNOWN,UNKNOWN
P015,10.1109/tai.2025.3607790,A,1,3,UNCLASSIFIED,Interaction graph of the clusters.,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P015,10.1109/tai.2025.3607790,A,2,9,UNCLASSIFIED,Trajectories of ||Mp,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P015,10.1109/tai.2025.3607790,A,3,9,UNCLASSIFIED,Trajectories of ||Mp,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P015,10.1109/tai.2025.3607790,A,4,9,UNCLASSIFIED,Trajectories of ||Mp,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P015,10.1109/tai.2025.3607790,A,5,9,UNCLASSIFIED,Trajectories of ||Mp,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
