Paper_ID,DOI,Title,Journal,Year,Corpus_role,Layer,Primary_research_type,Secondary_research_types,Local_PDF_path,Extraction_status,Extracted_characters
P023,10.1109/tcns.2026.3722606,Disentangled Control of Multi-Agent Systems,TCNS,2026,A,CORE,Navigation / planning paper,Multi-agent decision paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Lin_2026_TCNS_Disentangled-Control-of-Multi-Agent-Systems.pdf,COMPLETE,48424
P024,10.1109/tcns.2026.3697318,"Enhancing Security in Multi-Robot Systems through Co-Observation Planning, Reachability Analysis, and Network Flow",TCNS,2026,A,CORE,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Yang_2026_TCNS_Enhancing-Security-in-Multi-Robot-Systems-through-Co-Observation-Plann.pdf,COMPLETE,61528
P025,10.1109/tcns.2024.3378392,Tracking Control of Cooperative Marine Vehicles Under Hard and Soft Constraints,TCNS,2024,A,CORE,RL / MARL method paper,Multi-agent decision paper; Control theory paper; Engineering control paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Restrepo_2024_TCNS_Tracking-Control-of-Cooperative-Marine-Vehicles-Under-Hard-and-Soft-Co.pdf,COMPLETE,59648
P026,10.1109/tcns.2021.3124926,Multiagent Consensus Subject to Communication and Privacy Constraints,TCNS,2021,A,CORE,Multi-agent decision paper,Control theory paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCNS\Maity_2021_TCNS_Multiagent-Consensus-Subject-to-Communication-and-Privacy-Constraints.pdf,COMPLETE,73296
P027,10.1109/tcst.2025.3533378,Robust Predictive Motion Planning by Learning Obstacle Uncertainty,TCST,2025,A,CORE,RL / MARL method paper,Navigation / planning paper; Trajectory optimization paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Zhou_2025_TCST_Robust-Predictive-Motion-Planning-by-Learning-Obstacle-Uncertainty.pdf,COMPLETE,81812
P028,10.1109/tcst.2022.3211130,Distributed Nonlinear Trajectory Optimization for Multi-Robot Motion Planning,TCST,2022,A,CORE,Autonomous vehicle paper,Multi-agent decision paper; Navigation / planning paper; Trajectory optimization paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Ferranti_2022_TCST_Distributed-Nonlinear-Trajectory-Optimization-for-Multi-Robot-Motion-P.pdf,COMPLETE,86104
P029,10.1109/tcst.2026.3661166,Mixed-Integer MPC-Based Motion Planning Using Hybrid Zonotopes With Tight Relaxations,TCST,2026,A,CORE,Autonomous vehicle paper,RL / MARL method paper; Navigation / planning paper; Trajectory optimization paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Robbins_2026_TCST_Mixed-Integer-MPC-Based-Motion-Planning-Using-Hybrid-Zonotopes-With-Ti.pdf,COMPLETE,79001
P030,10.1109/tcst.2023.3323766,Coordinated Navigation Control of Cross-Domain Unmanned Systems via Guiding Vector Fields,TCST,2023,A,CORE,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper; Navigation / planning paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Hu_2023_TCST_Coordinated-Navigation-Control-of-Cross-Domain-Unmanned-Systems-via-Gu.pdf,COMPLETE,67023
P031,10.1109/tcst.2022.3216989,Multitrajectory Model Predictive Control for Safe UAV Navigation in an Unknown Environment,TCST,2022,A,CORE,UAV autonomy paper,Navigation / planning paper; Trajectory optimization paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Saccani_2022_TCST_Multitrajectory-Model-Predictive-Control-for-Safe-UAV-Navigation-in-an.pdf,COMPLETE,72402
P032,10.1109/tcst.2026.3659194,Bézier Curve-Based Optimization Framework for Multirobot Motion Planning in Unknown Environments,TCST,2026,A,CORE,Navigation / planning paper,Multi-agent decision paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Mazen_2026_TCST_B-zier-Curve-Based-Optimization-Framework-for-Multirobot-Motion-Planni.pdf,COMPLETE,59240
P033,10.1109/tcyb.2023.3246985,Learning-Based Multi-UAV Flocking Control With Limited Visual Field and Instinctive Repulsion,TCYB,2023,A,CORE,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper; Learning-based control paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Bai_2023_TCYB_Learning-Based-Multi-UAV-Flocking-Control-With-Limited-Visual-Field-an.pdf,COMPLETE,71349
P034,10.1109/tcyb.2021.3132587,Distributed UAV Swarm Formation and Collision Avoidance Strategies Over Fixed and Switching Topologies,TCYB,2021,A,CORE,UAV autonomy paper,Multi-agent decision paper; Control theory paper; Engineering control paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Wu_2021_TCYB_Distributed-UAV-Swarm-Formation-and-Collision-Avoidance-Strategies-Ove.pdf,COMPLETE,56874
P035,10.1109/tcyb.2021.3070385,Simultaneous Obstacle Avoidance and Target Tracking of Multiple Wheeled Mobile Robots With Certified Safety,TCYB,2021,A,CORE,Navigation / planning paper,Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Li_2021_TCYB_Simultaneous-Obstacle-Avoidance-and-Target-Tracking-of-Multiple-Wheele.pdf,COMPLETE,73636
P036,10.1109/tcyb.2021.3057219,Fixed-Time Cooperative Behavioral Control for Networked Autonomous Agents With Second-Order Nonlinear Dynamics,TCYB,2021,A,CORE,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Zhou_2021_TCYB_Fixed-Time-Cooperative-Behavioral-Control-for-Networked-Autonomous-Age.pdf,COMPLETE,72614
P037,10.1109/tcyb.2023.3263380,Optimal Task and Motion Planning and Execution for Multiagent Systems in Dynamic Environments,TCYB,2023,A,CORE,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Faroni_2023_TCYB_Optimal-Task-and-Motion-Planning-and-Execution-for-Multiagent-Systems-.pdf,COMPLETE,70267
P038,10.1109/tevc.2025.3535954,A Deep Reinforcement Learning-Assisted Multimodal Multiobjective Bilevel Optimization Method for Multirobot Task Allocation,TEVC,2025,A,EXTENDED,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TEVC\Yu_2025_TEVC_A-Deep-Reinforcement-Learning-Assisted-Multimodal-Multiobjective-Bilev.pdf,COMPLETE,72905
P039,10.1109/tevc.2025.3573828,Cross-Task Collaborative Optimization Based on Knowledge Transfer for Soft Robot Design,TEVC,2026,A,EXTENDED,Navigation / planning paper,Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TEVC\Zhao_2026_TEVC_Cross-Task-Collaborative-Optimization-Based-on-Knowledge-Transfer-for-.pdf,COMPLETE,69233
P040,10.1109/tevc.2025.3534026,A Novel Knowledge-Based Genetic Algorithm for Robot Path Planning in Complex Environments,TEVC,2025,A,EXTENDED,Navigation / planning paper,Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TEVC\Li_2025_TEVC_A-Novel-Knowledge-Based-Genetic-Algorithm-for-Robot-Path-Planning-in-C.pdf,COMPLETE,76681
P041,10.1109/tfuzz.2025.3585934,Multiagent Fuzzy Reinforcement Learning With LLM for Cooperative Navigation of Endovascular Robotics,TFS,2026,A,EXTENDED,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Yao_2026_TFS_Multiagent-Fuzzy-Reinforcement-Learning-With-LLM-for-Cooperative-Navig.pdf,COMPLETE,54615
P042,10.1109/tfuzz.2024.3450892,Deep Reinforcement Learning With Fuzzy Feature Fusion for Cooperative Control in Traffic Light and Connected Autonomous Vehicles,TFS,2025,A,EXTENDED,Autonomous vehicle paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Xu_2025_TFS_Deep-Reinforcement-Learning-With-Fuzzy-Feature-Fusion-for-Cooperative-.pdf,COMPLETE,84844
P043,10.1109/tfuzz.2025.3642241,Logic-Adaptive Discrete Neural Dynamics for Distributed Cooperative Control of Multirobot Systems via Minimum Infinity Norm Optimization,TFS,2026,A,EXTENDED,Navigation / planning paper,Multi-agent decision paper; Learning-based control paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Ma_2026_TFS_Logic-Adaptive-Discrete-Neural-Dynamics-for-Distributed-Cooperative-Co.pdf,COMPLETE,44159
P044,10.1109/tfuzz.2021.3067724,Design and Optimization of Robust Path Tracking Control for Autonomous Vehicles With Fuzzy Uncertainty,TFS,2022,A,EXTENDED,Autonomous vehicle paper,Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TFS\Yang_2022_TFS_Design-and-Optimization-of-Robust-Path-Tracking-Control-for-Autonomous.pdf,COMPLETE,57187
P045,10.1109/tie.2024.3363761,Semantic-Driven Autonomous Visual Navigation for Unmanned Aerial Vehicles,TIE,2024,A,CORE,UAV autonomy paper,RL / MARL method paper; Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Yue_2024_TIE_Semantic-Driven-Autonomous-Visual-Navigation-for-Unmanned-Aerial-Vehic.pdf,COMPLETE,66179
P046,10.1109/tie.2025.3536628,Model Predictive Optimization and Terminal Sliding Mode Motion Control for Mobile Robot With Obstacle Avoidance,TIE,2025,A,CORE,Navigation / planning paper,Trajectory optimization paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Li_2025_TIE_Model-Predictive-Optimization-and-Terminal-Sliding-Mode-Motion-Control.pdf,COMPLETE,43148
P047,10.1109/tie.2023.3306405,Real-Time Dynamic Obstacle Avoidance for Robot Manipulators Based on Cascaded Nonlinear MPC With Artificial Potential Field,TIE,2023,A,CORE,Navigation / planning paper,Trajectory optimization paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Zhu_2023_TIE_Real-Time-Dynamic-Obstacle-Avoidance-for-Robot-Manipulators-Based-on-C.pdf,COMPLETE,48555
P048,10.1109/tie.2025.3639779,EDEN: Efficient Dual-Layer Exploration Planning for Fast UAV Autonomous Exploration in Large 3-D Environments,TIE,2026,A,CORE,UAV autonomy paper,Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Dong_2026_TIE_EDEN-Efficient-Dual-Layer-Exploration-Planning-for-Fast-UAV-Autonomous.pdf,COMPLETE,56227
P049,10.1109/tie.2021.3070508,OpenStreetMap-Based Autonomous Navigation for the Four Wheel-Legged Robot Via 3D-Lidar and CCD Camera,TIE,2021,A,CORE,RL / MARL method paper,Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Li_2021_TIE_OpenStreetMap-Based-Autonomous-Navigation-for-the-Four-Wheel-Legged-Ro.pdf,COMPLETE,48244
P050,10.1109/tie.2023.3299048,Vision-Based Reactive Temporal Logic Motion Planning for Quadruped Robots in Unstructured Dynamic Environments,TIE,2023,A,CORE,RL / MARL method paper,Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Zhou_2023_TIE_Vision-Based-Reactive-Temporal-Logic-Motion-Planning-for-Quadruped-Rob.pdf,COMPLETE,51873
P051,10.1109/tii.2024.3438241,Reinforcement Learning-Based Fault-Tolerant Control for Quadrotor UAVs Under Actuator Fault,TII,2024,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Learning-based control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Liu_2024_TII_Reinforcement-Learning-Based-Fault-Tolerant-Control-for-Quadrotor-UAVs.pdf,COMPLETE,42233
P052,10.1109/tii.2026.3658768,Direct Data-Driven Trajectory Tracking Control for Autonomous Vehicles via Algebraic Regulator Under Limited Data,TII,2026,A,EXTENDED,Autonomous vehicle paper,Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Chen_2026_TII_Direct-Data-Driven-Trajectory-Tracking-Control-for-Autonomous-Vehicles.pdf,COMPLETE,58817
P053,10.1109/tii.2025.3593966,Hybrid Deep Reinforcement Learning for UAV Inspection in Large-Scale Wind Farms: Deployment and Routing Optimization,TII,2025,A,EXTENDED,UAV autonomy paper,RL / MARL method paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Zhang_2025_TII_Hybrid-Deep-Reinforcement-Learning-for-UAV-Inspection-in-Large-Scale-W.pdf,COMPLETE,54380
P054,10.1109/tii.2024.3468453,Robotic Locomotion Skill Learning Using Unsupervised Reinforcement Learning With Controllable Latent Space Partition,TII,2025,A,EXTENDED,RL / MARL method paper,Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\He_2025_TII_Robotic-Locomotion-Skill-Learning-Using-Unsupervised-Reinforcement-Lea.pdf,COMPLETE,52033
P055,10.1109/tii.2023.3248120,Evolutionary Optimization of Fuzzy Reinforcement Learning and Its Application to Time-Varying Tracking Control of Industrial Parallel Robotic Manipulators,TII,2023,A,EXTENDED,RL / MARL method paper,Navigation / planning paper; Engineering control paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Huang_2023_TII_Evolutionary-Optimization-of-Fuzzy-Reinforcement-Learning-and-Its-Appl.pdf,COMPLETE,38441
P056,10.1109/tii.2022.3143175,Cooperative Multiagent Deep Reinforcement Learning for Reliable Surveillance via Autonomous Multi-UAV Control,TII,2022,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TII\Yun_2022_TII_Cooperative-Multiagent-Deep-Reinforcement-Learning-for-Reliable-Survei.pdf,COMPLETE,55496
P057,10.1109/tim.2025.3584117,LiDAR-Based Autonomous Exploration Method of Mobile Robot Using Deep Reinforcement Learning in Unknown Environments,TIM,2025,A,EXTENDED,RL / MARL method paper,Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Zhang_2025_TIM_LiDAR-Based-Autonomous-Exploration-Method-of-Mobile-Robot-Using-Deep-R.pdf,COMPLETE,75264
P058,10.1109/tim.2024.3522370,Cooperative Obstacle Avoidance of Unmanned System Swarm via Reinforcement Learning Under Unknown Environments,TIM,2025,A,EXTENDED,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Zhang_2025_TIM_Cooperative-Obstacle-Avoidance-of-Unmanned-System-Swarm-via-Reinforcem.pdf,COMPLETE,54633
P059,10.1109/tim.2023.3265741,Deep Reinforcement Learning of UAV Tracking Control Under Wind Disturbances Environments,TIM,2023,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Ma_2023_TIM_Deep-Reinforcement-Learning-of-UAV-Tracking-Control-Under-Wind-Disturb.pdf,COMPLETE,64147
P060,10.1109/tim.2025.3562241,Optimal Trajectory Planning and Multimodal Force Control for Robotic Large Surface Rapid Grinding,TIM,2025,A,EXTENDED,Navigation / planning paper,Trajectory optimization paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Liu_2025_TIM_Optimal-Trajectory-Planning-and-Multimodal-Force-Control-for-Robotic-L.pdf,COMPLETE,74364
P061,10.1109/tits.2024.3524562,Extrinsic-and-Intrinsic Reward-Based Multi-Agent Reinforcement Learning for Multi-UAV Cooperative Target Encirclement,TITS,2025,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Chen_2025_TITS_Extrinsic-and-Intrinsic-Reward-Based-Multi-Agent-Reinforcement-Learnin.pdf,COMPLETE,68046
P062,10.1109/tits.2023.3276416,CoTV: Cooperative Control for Traffic Light Signals and Connected Autonomous Vehicles Using Deep Reinforcement Learning,TITS,2023,A,EXTENDED,Autonomous vehicle paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Guo_2023_TITS_CoTV-Cooperative-Control-for-Traffic-Light-Signals-and-Connected-Auton.pdf,COMPLETE,62471
P063,10.1109/tits.2024.3505929,Multi-Agent Reinforcement Learning With Spatial–Temporal Attention for Flocking With Collision Avoidance of a Scalable Fixed-Wing UAV Fleet,TITS,2025,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Yan_2025_TITS_Multi-Agent-Reinforcement-Learning-With-Spatial-Temporal-Attention-for.pdf,COMPLETE,67948
P064,10.1109/tits.2020.3039617,Data Freshness and Energy-Efficient UAV Navigation Optimization: A Deep Reinforcement Learning Approach,TITS,2021,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Abedin_2021_TITS_Data-Freshness-and-Energy-Efficient-UAV-Navigation-Optimization-A-Deep.pdf,COMPLETE,61944
