paper	figure	page	panels_and_encoding	purpose_and_context	transfer_and_boundary
R06	10	7	a两行三列机载视角对比；b两幅鸟瞰路径图，蓝无人机/黑目标。	用真实相机遮挡解释路径差异。	单段展示与十次试验统计分别陈述。
R07	1	1	实景UAV支援多UGV、A–G支援点、底部两个圆形地图Before/After放大。	无人机提供地图/定位使盲车解除潜在碰撞。	画出支援前后信息变化，不只画空地两种平台。
R07	3	3	蓝UAV大容器与叠层绿UGV容器；定位、地图、调度、路径模块，橙虚线请求、红/蓝数据线。	显示help-request/support-action的双向协作。	原文正文有Fig2引用但本PDF未见独立Fig2图；不补造。
R07	4	4	占据栅格黄未知/白自由、灰障碍、橙不确定椭圆、红绿路径。	无人机地图不能直接保证UGV安全。	必须同时表达地图未知与定位误差。
R07	5	4	左右P-Map规划与CP-Map碰撞预测；红路径、渐大绿协方差椭圆和红碰撞椭圆。	同一路径上先乐观规划再保守预测风险。	区别规划地图与检查地图，椭圆不是机体尺寸。
R07	6	5	俯视栅格、彩色支援航点、VRPTW访问序列和UAV路径。	用预测碰撞时限安排支援顺序。	时间窗要与请求消息对应。
R07	7	5	2×2连续仿真时刻，UAV移动服务不同UGV，黄色轨迹与彩色不确定区域。	验证按调度顺序解除风险。	记清时刻与服务对象，非四独立任务。
R07	8	6	两硬件照片：UAV+三UGV；UAV底部Livox/CREPES标注。	说明共享定位感知平台。	从自己的照片标传感器位置。
R07	9	6	上下时间曲线：各UGV状态估计椭圆半长轴与预测碰撞时间，顶部服务事件字母。	支援到达后不确定度和碰撞风险改变。	事件曲线比仅成功截图更能解释协作机制。
R08	1	1	ICRA字形轨迹，橙观测/蓝逐次估计，蓝深浅表示估计时间偏移。	用可辨认字形展示时间同步恢复相对轨迹。	不是训练epoch，颜色含义为时间偏移。
R08	2	3	两机器人轨迹/坐标系，错时和同步时的虚线观测束、速度外推。	说明时间偏差怎样污染相对位姿。	必须画t和t+ΔT的观测配对。
R08	3	5	三行折线：时间偏移估计误差、目标代价、解矩阵秩vs真实time offset(s)，ITO/NTO带状变化。	验证迭代同步扩大可处理偏移范围。	优化/偏移扫描不是RL训练曲线。
R08	4	6	三方法并排旋转误差热图，横噪声、纵时间偏移，共色标。	区分噪声与错时对定位的交互影响。	共享网格、色标、采样次数。
R08	5	6	三方法并排时间偏移估计误差(s)热图，条件同F4。	检验同步估计本身。	定位准不自动等于时间估计准。
R08	6	6	实景双无人机与红外相机/LED定位标记。	实验传感配置。	区分算法观测和mocap真值来源。
R08	7	6	2×3三维轨迹，小图为不同真实运动；共同世界系下真值及ITO/NTO/Wang方法。	显示多种轨迹恢复而非仅字形示例。	每幅保持XYZ尺度和方法图例一致。
R09	1	1	上下真实协同接住/运输场景，时间渐变路径、放大接住瞬间。	说明非完整地面车合作支撑网的实际任务。	任务是地面群体接物，不应误检索为无人机编队控制。
R09	2	4	车辆→矩形多边形→顶点边有符号距离示意，蓝箭头分步。	解释全机体碰撞距离的连续近似。	画真实足迹和有符号方向。
R09	3	5	三车撑网、多状态半透明车、红梯度箭头、蓝安全边/黄不安全边。	梯度改变车队拓扑，防止网边穿越。	方法的拓扑安全须有边关系，不仅个体距离。
R09	4	5	非凸车队多边形上方蓝紫捕获代价曲面，红极小点、位置XYm。	自适应捕获代价引导落点落在网内部。	是代价几何，不是经验成功概率。
R09	5	6	x车辆数、y规划计算时间s，三方法折线。	证明群规模增大时的计算优势。	统一硬件与初始化条件。
R09	6	7	上排a–d四RViz捕获时刻；下e宽实景、时间渐变轨迹、圆形捕获放大和速度vs秒嵌图标Planning/Catching。	动作阶段、网形、安全和速度联合解释真实救援。	用同一次任务时钟；捕获成功样例不代替表中统计。
R09	S1	15	3行场景×3列正常/无自适应/无网安全，灰障碍红目标彩色车轨迹。	补充消融直接展示移除模块后的失效。	补充材料Figure1须独立命名S1避免撞主文F1。
R09	S2	17	三并排轨迹；蓝初值、青优化，箭头车身方向、星号换挡点。	说明优化可移动换挡点改善前后向轨迹。	线色区分阶段而非方法。
R09	S3	18	3行×2列初始/规划后，蓝箭头目标方向，团队有前进和后退。	展示非完整约束下双向运动。	只借布局，不能默认四旋翼也需汽车换挡变量。
R10	1	1	左形状/中心距离几何，中央场景局部/边缘路线，右计算平台照片。	边缘算力改变碰撞模型精度和可通行性。	画算力导致行为变化，不只画云图标。
R10	2	3	环境、蓝机器人组、橙边缘服务器、右侧B-MINLP/MPS决策；状态和动作细箭头。	把慢速分配决策与快速运动规划分层。	标各环频率、上行状态和下行计划。
R10	3	7	两平台分面分组柱；x障碍数、颜色预测时域、y计算时间ms。	展示计算负荷对平台的依赖。	不能把换硬件优势归于算法。
R10	4	7	CARLA真实感场景截图+俯视规划切换示意，红本地/黄边缘。	说明超车时为何切换规划器。	仿真渲染不是实景照片。
R10	5	8	四列方法：上路径地图、下相同时间轴控制参数，红/黄规划段。	十字路口中规划选择与控制行为关联。	方法列固定尺度，关键切换时刻跨面板对齐。
R10	6	8	拥堵场景截图+超车俯视路径。	定义更难动态交通场景。	与F7控制比较构成一组。
R10	7	9	四方法列，各列轨迹+时序控制，布局同F5。	比较拥堵条件下停滞、振荡与超车。	相同轴范围有利比较。
R10	8	9	左全局地图及四局部路径窗，右通信无线电强度dB热图。	联合展示算力服务位置、机器人运动和通信环境。	通信图必须由测量/模型得到并注明来源。
R10	9	9	四列：油门、转向、切换收益、规划器选择；每列四机器人时间曲线。	展示高层切换变量如何改变低层控制。	离散选择用阶梯线；不把切换次数当训练迭代。
R10	10	10	CARLA城市截图+路径规划切换细节。	更复杂驾驶场景验证。	迁移空地调度时保留条件区别。
R10	11	10	两方法列，每列轨迹+控制参数时序。	解释官方场景中完成时间的差异。	统计结论另用测试分母支持。
R10	12	10	真实场景、全局点云地图、平台/局部路线多视图。	实际异构系统的路径和服务器布置。	每种颜色只承担一项身份语义。
R10	13	11	横排四事件，每列上实景下地图：无收益、robot1切换、robot2切换、完成。	真实闭环触发事件的因果证据。	正文尾部Fig14引用与实际Fig13不一致，按图注定位不补造。
R11	1	1	竖排三场景：汽车跟踪、倾斜车尾栖停、森林仿真。	从追踪到动态栖停的能力范围。	区分真实照片与仿真。
R11	2	4	左目标估计和无人机传感；中部Tracking/Perching两列×Visibility/Safety/Dynamic feasibility三行，每格几何缩图；右柔性终端与时空优化。	把五项挑战映射到不同阶段的具体约束。	可模仿能力矩阵式框图；每格必须能指出算法变量。
R11	3	5	无人机圆盘、倾斜半空间、RGB机体系和法向。	SE(3)接触前碰撞模型。	姿态安全不能简化成质点距离。
R11	4	6	A–D四几何视图：球链近似视锥、梯度、移向开阔区、调整跟踪距离。	遮挡代价同时改变方位与距离。	用同一障碍/目标解释梯度方向。
R11	5	7	上栖停接近示意，下距离窗平滑门函数族。	感知约束仅在合适距离内激活。	函数族不是训练曲线。
R11	6	7	加速红路径/减速蓝路径与机载投影小图。	姿态与位置共同影响目标在图像中的位置。	将像素误差与三维控制几何配对。
R11	7	8	A/B两行，各左轨迹族右角速度；终端相对速度参数渐变，红安全/动力学违反标记。	硬终端要求在碰撞和执行器限制间产生冲突。	对比参数必须明示，不能当多方法线。
R11	8	10	2×2绕障几何，红目标预测、蓝多目标观测路径、可见线。	逐段选无遮挡观测点再搜索。	突出可见性而非只看路径短。
R11	9	11	深度图与视锥几何并列，目标像素、最近遮挡点、投影距离D_occ。	定义遮挡评价指标。	展示指标如何计算，避免指标只剩名字。
R11	10	12	上四方法XY相对位置热图与红视场；下左不同密度小提琴图，下右失败原因堆叠柱。	同时看观察分布、遮挡裕度和失败类型。	失败类型分母一致；小提琴不是时间曲线。
R11	11	13	四方法2×2；每格上三维目标/无人机/视线，下两条时间轴遮挡距离和跟踪距离，红失败段。	同场景解释失效机制和避障/视野权衡。	跨图统一事件时刻，优秀轨迹+诊断曲线范本。
R11	12	14	四行轨迹XZ、角速度、归一化推力、像素位置vs时间，三方法同色。	栖停是否同时满足动态/感知限制。	终止时间和约束线必须显式。
R11	13	14	角速度vs秒，黄色不同优化迭代、蓝本文、上下虚线限制。	更多优化迭代也未必解决不可行性。	优化迭代结果不是RL训练。
R11	14	14	上下两种终端倾角；XYZ轨迹族按目标速度渐变，红目标线。	动态目标速度和终端姿态适应。	共享速度色条。
R11	15	15	三行终端倾角，左空间轨迹/机体姿态，右两种方法像素帧序列和可见/不可见框。	可见性消融揭示动作与成像的关系。	空间与像素必须来自同次运行。
R11	16	15	左定位RMSE(m)vs观测距离(m)，三观察角度；右AprilTag几何。	解释感知距离/角度的物理评价依据。	不能把误差曲线当通用相机参数。
R11	17	16	A转弯、B交错卡车两场景；ESDF全程地图+编号局部视域+匹配实景。	真实动态障碍下主动改善视线。	编号对齐比装饰箭头更重要。
R11	18	16	两视角DJI平台照片，前/下相机和探照灯标注。	解释夜间与倾角任务感知配置。	设备状态必须记录。
R11	19	17	两行方法×三个实景时刻，标潜在遮挡/跟踪失败。	与商业主动跟踪对比。	样例展示不能自动推广到全部条件。
R11	20	18	A夜间叠影、B机载图像序列、C日间高速叠影、D位置误差、E速度、F俯仰vs秒及对齐局部放大。	完整展示接近、观测和终端位置速度姿态同步。	夜间和日间不同运行不可伪装成同一次。
R11	21	19	A倾斜车尾实景、B相机帧、C/D姿态/速度、E角速度、F推力，共时轴。	验证大角度动态栖停及执行器可行性。	用接触时刻将像素帧和曲线联系。
R12	1	1	2×2森林实飞叠影，每时刻附速度仪表，开放/拥挤/窄口转换。	学会随环境调速的直观行为。	仪表需来自日志，不用凭视觉猜速度。
R12	2	3	上环境—传感—控制闭环，下虚线内红Agility Policy→黄Trajectory Planner，动作标agility level。	学习的是速度约束，内部仍为模型规划器。	RL高层动作与低层控制分层绘制。
R12	3	4	占据网格/未来轨迹编码→CNN→与速度/跟踪误差/上一动作拼接→MLP actor/critic。	说明感知条件和策略具体输入。	网络图中保留未知/占据/规划轨迹图例。
R12	4	5	长条仿真森林训练环境。	界定训练分布。	不能仅给测试环境而隐藏训练障碍分布。
R12	5	6	三列同场景飞行路径，彩色表示速度，圆圈标碰撞，暗绿参考线。	本文、固定速度、未微调模型的行为对比。	按同一路线比较，成功率另在F6。
R12	6	6	x平均速度m/s、y成功率，多设置点与固定速度性能边界。	揭示安全—效率折衷及两阶段训练消融。	这是最终策略评估，不是训练曲线；本文SAC存在而主文未见训练过程图。
R12	7	6	两图本文/EVA速度彩轨迹。	解释保守减速与流畅通过差别。	颜色保持速度数值含义。
R12	8	6	两图转角可见性，速度彩轨迹、红航向/视场边界。	感知感知型策略在视野受限时提前减速。	需要视野数据才能声称该机制。
R12	9	7	三列墙后隐藏柱实景叠影，固定2m/s、3.5m/s与自适应；红规划、速度彩执行、蓝地图。	同一遮挡条件的响应差异。	固定速度基线设置写清。
R12	10	7	两幅密集实景叠影与速度色条。	从仿真到真实复杂障碍的迁移。	不将挑选成功片段替代完整失败记录。
R13	1	1	上72机ZJU轨迹，下立方体/三棱柱/八面体穿障碍。	大规模形状任务。	仿真和真实证据区分。
R13	2	2	柔性图受扰变形、刚性图两构形、增加一边成全局刚性。	解释为什么任意稀疏化会丢失形状唯一性。	红边是数学约束，非默认通信连接。
R13	3	3	橙困难→蓝全局刚性稀疏化→绿矩阵指标+遗传算法选子矩阵→黄规划；每层有图结构缩图。	从计算瓶颈到结构保持的机制链。	可学问题起点和可见内部操作。
R13	4	4	上下Laplacian矩阵/所选列与对应稀疏图，虚实箭头联系。	列选择等价图构造。	索引颜色跨矩阵和图节点一致。
R13	5	5	上环境/三队形，下2×3不同机数和队形的指标比较柱图。	比较矩阵评价准则而非只报最优一个。	矩阵指标与最终队形误差建立联系。
R13	6	5	3行形状×2列计算时间/相对误差，x无人机数，颜色/符号连接率。	显示速度提升与精度牺牲。	多条件共享图例，计算轴对数需明示。
R13	7	6	x连接率%、y折衷指标，三种规模曲线、最优星标和可取灰区。	给参数选择依据。	最优依赖本文定义和场景，不能照搬30%。
R13	8	6	上五方法队形误差箱线，下优化前后基集顶点几何。	连接结构选择与误差分布。	箱线须说明重复试验和异常点。
R13	9	7	五方法行：左计算耗时横条，中时刻队形恢复，右恢复时间/失败。	计算快不等于恢复快；三种证据同排。	失败明确写Failed不画为零耗时。
R13	10	7	三形状行，左共面基集导致塌缩，右调整一个点成非共面后保持。	消融全局刚性所需几何条件。	画出被改变的顶点，不能只改模块名。
R14	1	1	三竖排：夜间发光轨迹、白天载荷穿障碍、点云路径。	多机绳载任务的敏捷性和安全性。	同时保留无人机、绳索、载荷轨迹。
R14	2	4	上青规划优化循环含约束几何缩图，右地图/捕获输入，下绿叠层分布式控制器，紫主路径箭头。	规划处理耦合动力学，控制端不依赖载荷状态闭环。	画清每机估计量与共享计划，不能虚构载荷传感器。
R14	3	5	多无人机—绳—负载几何及机体/世界坐标、绳角方向。	定义间接位置表示和耦合状态。	物理对象/坐标与公式一一对应。
R14	4	10	左可缩放棱锥配置，右窄走廊变尺度路径。	用系统整体外形生成初始安全路线。	不能仅检查负载点的碰撞。
R14	5	10	左辅助变量时间曲线，右映射后扇区向量随时间渐变。	约束消除映射的可视化。	解析映射，不是强化学习曲线。
R14	6	13	黑底两方法，径向多条轨迹、白方柱/圆柱障碍，共图例。	相同环境多起终点路径质量。	路径数量及采样方式写明。
R14	7	13	x无人机数量、y计算时间对数轴，红本文/蓝基线。	系统规模下响应速度。	说明计时硬件与范围。
R14	8	14	上下有/无绳向量约束，彩色负载路径和机群配置，编号关键点。	约束抑制不希望的拓扑局部极小。	针对性消融应画绳索与重排顺序。
R14	9	15	A长曝光实景，B右三XYZ路径按速度/倾角/RMSE着色，C下3×6状态曲线含位置/姿态/速度/角速/RPM。	验证接近推力极限时的全状态跟踪。	不能将不同物理量共用无标签色条；密集状态图适合宽版或补充。
R14	10	15	三机及LED、绳、载荷、计算机、IMU照片标注。	定义可观测量与实际装置。	只标真正安装传感器。
R14	11	15	五载荷估计质量箱线，横真实质量参考，红百分比误差。	无载荷直接传感情况下的质量估计精度。	报告重复次数，质量误差不等于轨迹误差。
R14	12	16	A俯视路径、B穿缝时配置、C实景、D侧视仿真、E点云。	验证完整系统变形通过窄口。	不同视角对准同一穿越事件。
R14	13	18	A实景轨迹、B规划图，C/D关键点实景/仿真特写，标新目标和切换点。	紧急目标变化后的在线重规划。	本PDF正文提F14但未见独立图；不补造连续重规划图。
R15	1	1	上两视角彩点云/红轨迹，下三实景时刻。	激光雷达策略真实穿林。	点云高度色不代表速度。
R15	2	3	左球面角分区和最近点，右传感器FOV与多帧FOV/未知区。	设计任务相关输入，保留已观测自由与未知区别。	不要把未知当自由空间；这是表示创新核心。
R15	3	4	上真机/Orin/PX4照片，下点云→球面表示→MLP编码→状态融合→T,ω，黑实线数据/橙虚线硬件连接。	点云策略直接给推力和角速度50Hz。	信号与物理链路分别编码，动作不是位置航点。
R15	4	5	单训练图，多配置彩线和带；x0–40M steps、yNormalized Return；表示/并行环境N_e/mini-batch N_b组合。	展示表示压缩和批量数据使PPO更容易训练。	带的统计定义和seed数不能从外观推断，须查正文；不要把mini-batch当独立seed。
R15	5	6	上三环境success rate(%)vsvelocity(m/s)，下共场景四方法路径和长度标签。	训练后安全边界与路径效率两层评价。	训练回报不能替代成功率曲线。
R15	6	7	a/b室内两场景叠影，c/d细障碍局部特写。	检验细线感知和真实部署。	文字承认细障碍会漏检，不能写成全条件安全保证。
R16	1	1	三实景任务横排：倾斜浇水、穿斜缝、推拉帘。	展示全驱动近距离交互价值。	用途由实体能力支持，不从外观断定。
R16	2	2	x旋翼数、y归一化包络面积，底部不同旋翼布局小图。	以尺寸定量支撑同轴双旋翼紧凑性。	面积指标与真实尺寸分清。
R16	3	3	三种无人机拉物示意，红水平力、蓝下洗对物体干扰。	解释控制面如何减少侧向气流影响。	力箭头和气流箭头不能混用。
R16	4	3	三小图展示横向力、偏航矩、倾斜悬停，彩色矢量。	全驱动生成机制。	同时画控制面偏转和受力方向。
R16	5	4	真机剖视标舵机、控制面、电机、电池、计算板。	机械实现对应机制。	与F6理想模型区分。
R16	6	4	上下同轴旋翼三维CAD，绿色气动力、黄色推力、RGB坐标。	动力学坐标与力矩定义。	三维力方向需要清楚透视。
R16	7	5	淡黄位置控制/淡绿姿态控制→蓝Mixer→机体，分支全驱动/欠驱动。	同平台两工作模式控制结构。	模式选择要在实验状态曲线中可见。
R16	8	6	上实飞8字叠影，下左XY参考/实际轨迹，右三行误差/速度加速度/姿态，背景标模式切换。	证明切换过程中位置和姿态跟踪。	约左1/3右2/3的下排；同一时钟和明确切换线。
R16	9	7	三竖排角度、角速度、位置误差vs秒，指令/测量线和RMSE标注。	持续倾斜悬停时姿态与位置能否解耦。	位置误差必须伴随姿态性能。
R17	1	1	建筑三维灰地图、红路径、起终点、长度/耗时、机器人照片。	多层斜面和楼梯导航。	是地面机器人，非飞行三维自由空间。
R17	2	2	六处理阶段点云→平面→合并→交线→栅格→ESDF。	输入表示怎样变成可规划图。	按同一建筑对齐各阶段，不用不同示例拼凑。
R17	3	3	楼梯斜面彩栅格，六状态图例含未知/安全/占据/交线/交叠/边界。	明确跨平面连接和安全边界。	状态离散色不当连续色标。
R17	4	5	四环境列×三表示行，底行标优化时间和长度。	从几何复杂性到规划结果的系统对照。	行列语义固定。
R17	5	5	上下下楼/上楼轨迹，速度渐变与分段边界。	姿态连续和楼梯减速。	标坡面坐标而非仅世界投影。
R17	6	5	上下无/有方向约束；左规划斜面右真机姿态。	防止侧滑的约束可观察后果。	对照必须只改所测约束。
R17	7	6	三方法同建筑路径，标姿态不对齐等局部问题。	仅路径短不够，需符合斜面方向。	将定性对比与耗时/长度表联合。
R17	8	6	原点云、ESDF轨迹、机型图和实景时序。	真实非曼哈顿楼梯部署。	保留输入、表示、执行三阶段证据。
R18	1	1	大幅岛屿合并点云，红/蓝机器人来源，四个侧视/鸟瞰放大和100m比例尺。	全局覆盖与局部重影一起检查。	来源颜色不代表高度或误差。
