paper	title	learning_type	tags	paper_story
R12	Learning Speed Adaptation for Flight in Clutter	RL_HIGH_LEVEL	speed 速度 SAC reinforcement 强化学习 planning 规划	学习速度约束而非直接姿态控制；安全/速度权衡与实飞体现策略作用，不能把速度—成功率曲线当训练曲线。
R13	Sparse-Graph-Enabled Formation Planning for Large-Scale Aerial Swarms	NOT_RL	sparse 稀疏 graph 图 formation 编队 scalability 规模	稀疏图如何保留形状信息是机制，机器人数量—时间/性能关系才是可扩展性证据。
R14	Safe and Agile Transportation of Cable-Suspended Payload via Multiple Aerial Robots	NOT_RL	payload 吊载 cable 缆绳 transport 运输 force 受力	负载、绳索和多机动力耦合先几何化，轨迹、张力和状态约束配合运输事件验证安全敏捷性；未定位正文提到的 Fig.14。
R15	Flying on Point Clouds with Reinforcement Learning	RL_DIRECT_CONTROL	point-cloud 点云 PPO reinforcement 强化学习 training 训练	点云编码直接服务飞行控制，以编码器/训练配置比较、未见环境和真实飞行连接表示学习与部署；训练阴影定义未确认。
R16	FLOAT Drone: A Fully-actuated Coaxial Aerial Robot for Close-Proximity Operations	NOT_RL	fully-actuated 全驱动 hardware 硬件 contact 接触	机构赋予独立力/姿态能力，分解硬件与控制，再用近距离操作和接触响应验证；不能只学普通四旋翼图标。
R17	Efficient Trajectory Generation Based on Traversable Planes in 3D Complex Architectural Spaces	NOT_RL	traversable-plane 可通行平面 geometry 几何 planning 规划	建筑空间中的可通行平面与连接关系决定搜索结构；效率结果要和场景复杂度一起读。
R18	LEMON-Mapping: Loop-Enhanced Large-Scale Multi-Session Point Cloud Merging and Optimization for Globally Consistent Mapping	NOT_RL	mapping 建图 loop 回环 point-cloud 点云 consistency 一致性	多会话合并和回环优化通过全局地图、局部放大与误差证据逐层展示；漂亮大地图不足以证明一致性。
R19	Shape-Adaptive Planning and Control for a Deformable Quadrotor	NOT_RL	deformable 变形 morphology 构型 planning 规划 control 控制	构型改变可穿越空间及动力学，机构、可行域、轨迹与形变状态必须关联。
R20	Reactive Aerobatic Flight via Reinforcement Learning	RL_DIRECT_CONTROL	curriculum 课程 reset 重置 aerobatic 特技 PPO training 训练	偏置重置与状态扩展改变训练分布，动作意图和飞行状态进入策略；共同初态/原始奖励下评价以避免奖励修改造成假优势。
R21	Number Adaptive Formation Flight Planning via Affine Deformable Guidance in Narrow Environments	NOT_RL	formation 编队 affine 仿射 number 数量 adaptation 自适应	数量变化与仿射队形引导对应窄通道中的形状重构；用分阶段队形和误差解释重组而非单纯多条彩线。
R22	DPNet: Doppler LiDAR Motion Planning for Highly-Dynamic Environments	SUPERVISED_NOT_RL	Doppler 多普勒 dynamic 动态 neural-Kalman 神经卡尔曼 MPC	多普勒测量、神经卡尔曼估计和 MPC 接口连接动态障碍预测与规划；有网络不等于强化学习。
R23	Flying in Clutter on Monocular RGB by Learning in 3D Radiance Fields with Domain Adaptation	RL_ASYMMETRIC	RGB 单目 PPO domain-adaptation 域适应 GRL training 训练	训练用特权深度 critic 与域分类器，部署只用 RGB actor；域适应的反向梯度和实/仿真数据路径必须显式。
R24	USS-Nav: Unified Spatio-Semantic Scene Graph for Lightweight UAV Zero-Shot Object Navigation	ZERO_SHOT_NOT_RL	semantic 语义 graph 图 zero-shot 零样本 VLM	统一几何语义图支撑轻量零样本导航，核心是图构建和决策接口；固定语言模型调用不要求 PPO 奖励曲线。
R25	High-Speed Vision-Based Flight in Clutter with Safety-Shielded Reinforcement Learning	RL_ASYMMETRIC_SHIELDED	safety 安全 shield 屏蔽 HOCBF PPO training 训练 depth 深度	训练奖励中的 CBF 与部署 HOCBF 过滤器是两个位置的机制，必须区分；训练成功率不能代替部署安全与速度评估。
R26	NavDreamer: Video Models as Zero-Shot 3D Navigators	ZERO_SHOT_NOT_RL	video 视频 zero-shot 零样本 VLM waypoint 航点	视频采样、语言评分、尺度恢复和航点执行组成零样本导航链；固定模型采样不画新训练曲线。
R27	Primitive-based Truncated Diffusion for Efficient Trajectory Generation of Differential Drive Mobile Manipulators	SUPERVISED_DIFFUSION_NOT_RL	diffusion 扩散 primitive 基元 manipulator 机械臂 sampling 采样	基元与截断扩散改变采样成本/多样性，关键点表示连接全机体约束；本 PDF 的仿真结果不冒称实机。
R28	D-VLC: Decentralized Vision-Language Collaboration for Heterogeneous Embodied Multi-Robot Systems in Unknown Environments	ZERO_SHOT_NOT_RL	VLM heterogeneous 异构 decentralized 分散 collaboration 协作	能力感知、局部视觉记忆和异步协作连接到实际任务事件；初始化任务分解不等于全程中央控制，本 PDF 是仿真。
R29	Hand-like autonomous flying robot for airborne grasping and interaction	NOT_RL	grasping 抓取 deformation 变形 hardware 硬件 interaction 交互	手式机构、任务规划、形变与控制形成完整操作链；实景事件与误差/外力/舵机状态对应，Nature 风格可以迁移到 IEEE 图。
